dtype,M,N,K,selected_kernel,predicted_tflops,selection_time_ms,actual_time_ms,actual_tflops,status,error
fp16,64,64,64,s_64x64_k32_v4,8.739574128975509,122.27654457092285,0.0033279999624937773,0.15753846331390406,SUCCESS,
fp16,1024,1024,2048,s_64x64_k64_mem,415.80260696978746,8.95237922668457,0.023180199787020683,185.28603443723924,SUCCESS,
fp16,5,5,5,r_128x64_k64_v3,4.554978719903426,14.205694198608398,0,0,RUN_FAIL,Kernel execution failed
fp16,47,47,47,s_64x64_k32_v4,8.606834086715423,13.036727905273438,0,0,RUN_FAIL,Kernel execution failed
fp16,101,101,101,s_64x64_k128_v3,6.203550550334851,9.14621353149414,0,0,RUN_FAIL,Kernel execution failed
fp16,151,151,151,s_64x64_k128_v3,7.238239994671801,12.06064224243164,0,0,RUN_FAIL,Kernel execution failed
fp16,233,233,233,s_64x64_k128_v3,14.165719667339124,16.45684242248535,0,0,RUN_FAIL,Kernel execution failed
fp16,313,313,313,s_64x64_k128_v3,16.926654665549666,12.878656387329102,0,0,RUN_FAIL,Kernel execution failed
fp16,409,409,409,s_64x64_k128_v3,68.41815804542236,7.131814956665039,0,0,RUN_FAIL,Kernel execution failed
fp16,499,499,499,s_64x64_k128_v3,76.55443573994233,6.867647171020508,0,0,RUN_FAIL,Kernel execution failed
fp16,599,599,599,s_64x64_k128_v3,91.75297267276117,12.46953010559082,0,0,RUN_FAIL,Kernel execution failed
fp16,683,683,683,s_64x64_k64_v4,118.83340792354089,12.60519027709961,0,0,RUN_FAIL,Kernel execution failed
fp16,3,3,256,m_128x128_k32_v3,0.5879675705777767,16.981124877929688,0,0,RUN_FAIL,Kernel execution failed
fp16,3,63,128,s_64x64_k32_v4,1.4618423412743105,12.655019760131836,0,0,RUN_FAIL,Kernel execution failed
fp16,3,111,1024,s_64x64_k128_v3,1.3022000535372775,10.444164276123047,0,0,RUN_FAIL,Kernel execution failed
fp16,3,197,512,s_64x64_k64_v4,1.4357728336221853,15.375852584838867,0,0,RUN_FAIL,Kernel execution failed
fp16,3,311,256,s_64x64_k32_v4,1.5092916205848168,12.851715087890625,0,0,RUN_FAIL,Kernel execution failed
fp16,5,47,128,s_64x64_k32_v4,6.869965997739505,158.77199172973633,0,0,RUN_FAIL,Kernel execution failed
fp16,5,101,1024,s_64x64_k32_v4,1.4146073547464795,12.201309204101562,0,0,RUN_FAIL,Kernel execution failed
fp16,5,179,1024,s_64x64_k32_v4,1.516395932055957,9.168624877929688,0,0,RUN_FAIL,Kernel execution failed
fp16,5,283,512,s_64x64_k64_v4,1.7488182124386051,12.835979461669922,0,0,RUN_FAIL,Kernel execution failed
fp16,7,33,256,s_64x64_k32_v4,1.8188647237975275,12.549400329589844,0,0,RUN_FAIL,Kernel execution failed
fp16,7,103,128,s_64x64_k32_v4,7.040232048071099,12.67552375793457,0,0,RUN_FAIL,Kernel execution failed
fp16,7,157,1024,s_64x64_k64_v4,1.9423223555679958,12.729167938232422,0,0,RUN_FAIL,Kernel execution failed
fp16,7,269,512,s_64x64_k64_v4,1.9866258389076505,12.436151504516602,0,0,RUN_FAIL,Kernel execution failed
fp16,9,19,256,s_64x64_k32_v4,6.980886367125646,12.700796127319336,0,0,RUN_FAIL,Kernel execution failed
fp16,9,91,128,s_64x64_k32_v4,7.099849169153291,7.023334503173828,0,0,RUN_FAIL,Kernel execution failed
fp16,9,137,1024,s_64x64_k32_v4,1.944199433292947,11.78741455078125,0,0,RUN_FAIL,Kernel execution failed
fp16,9,241,512,s_64x64_k64_v4,2.053812775012909,13.514041900634766,0,0,RUN_FAIL,Kernel execution failed
fp16,11,11,256,s_64x64_k32_v4,7.416326419447636,11.534929275512695,0,0,RUN_FAIL,Kernel execution failed
fp16,11,77,128,s_64x64_k32_v4,7.47763112583427,11.79957389831543,0,0,RUN_FAIL,Kernel execution failed
fp16,11,121,1024,s_64x64_k64_v4,2.0244473723298473,14.121770858764648,0,0,RUN_FAIL,Kernel execution failed
fp16,11,227,512,s_64x64_k64_v4,2.188490089111115,12.568235397338867,0,0,RUN_FAIL,Kernel execution failed
fp16,11,337,256,s_64x64_k32_v4,8.298505066127316,16.163110733032227,0,0,RUN_FAIL,Kernel execution failed
fp16,13,43,128,s_64x64_k32_v4,7.513754455655487,16.900062561035156,0,0,RUN_FAIL,Kernel execution failed
fp16,13,99,1024,s_64x64_k64_v4,2.0356682678338105,13.767242431640625,0,0,RUN_FAIL,Kernel execution failed
fp16,13,173,512,s_64x64_k32_v4,2.1717467542666813,33.200740814208984,0,0,RUN_FAIL,Kernel execution failed
fp16,13,281,256,s_64x64_k32_v4,7.990925535687644,22.87435531616211,0,0,RUN_FAIL,Kernel execution failed
