m,n,k,oracle_best_tflops,oracle_best_kernel,ml_predicted_tflops,ml_selected_kernel,ml_actual_tflops,efficiency_pct,num_kernels
1,4096,2048,2.89,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x32,2.882339279518476,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x32,2.89,100.0,3744
1,4096,2304,3.04,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x32,3.03790303710601,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x32,3.04,100.0,3744
1,4096,4096,3.86,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x32,3.6526278866337987,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x64,3.77,97.66839378238342,3744
1,4096,7168,4.39,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_True_64x64x256_2x2x1_32x32x32,4.2418612867800345,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_True_64x64x256_2x2x1_32x32x32,4.39,100.0,3744
1,4096,8192,4.57,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x32,4.386835866891843,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_True_64x64x256_2x2x1_32x32x32,4.47,97.81181619256016,3744
1,4096,11008,4.57,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_True_64x64x256_2x2x1_32x32x32,4.535063635927836,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_True_64x64x256_2x2x1_32x32x32,4.57,100.0,3744
1,4608,256,0.77,gemm_universal_fp8_rcr_compv4_default_intrawave_False_False_False_False_64x64x128_2x2x1_32x32x64,0.7129708073044462,gemm_universal_fp8_rcr_compv4_default_intrawave_False_False_False_True_64x64x64_2x2x1_32x32x32,0.67,87.01298701298703,4608
1,4608,512,1.33,gemm_universal_fp8_rcr_mem_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x64,1.2043703586928747,gemm_universal_fp8_rcr_compv4_default_intrawave_False_False_False_False_64x64x64_2x2x1_32x32x32,1.27,95.48872180451127,4608
1,4608,1024,2.17,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x64,2.2215810562829907,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x32,2.14,98.61751152073734,4608
1,4608,1536,2.77,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x32,2.802338109414131,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x32,2.77,100.0,4608
1,4608,2048,3.24,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x32,3.254081722852917,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x32,3.24,100.0,4608
1,4608,2304,3.41,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x32,3.396621637281411,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x32,3.41,100.0,4608
1,4608,4096,4.29,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x32,4.164455764653568,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x64,4.21,98.13519813519814,4608
1,4608,7168,4.89,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x32,4.7913308178653224,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_True_64x64x256_2x2x1_32x32x32,4.88,99.79550102249489,4608
