m,n,k,oracle_best_tflops,oracle_best_kernel,ml_predicted_tflops,ml_selected_kernel,ml_actual_tflops,efficiency_pct,num_kernels
1,4608,8192,4.98,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_True_64x64x256_2x2x1_32x32x32,4.8842933872160135,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_True_64x64x256_2x2x1_32x32x32,4.98,100.0,4608
1,7168,256,1.19,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x128_2x2x1_32x32x64,1.193381174943029,gemm_universal_fp8_rcr_mem_default_intrawave_False_False_False_True_64x64x64_1x4x1_16x16x32,1.0,84.03361344537815,3744
1,7168,512,2.07,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x64,1.8626955434503405,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x32,1.9,91.78743961352657,3744
1,7168,1024,3.35,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x64,3.365858290279726,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x32,3.32,99.10447761194028,3744
1,7168,1536,4.28,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x64,4.277848670469431,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x64,4.28,100.0,3744
1,7168,2048,4.98,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x32,4.980381446694755,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x32,4.98,100.0,3744
1,7168,2304,5.29,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x32,5.1599045658176,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x32,5.29,100.0,3744
1,7168,4096,6.5,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x64,6.387270150961385,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x64,6.5,100.0,3744
1,7168,7168,7.16,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_True_64x64x256_2x2x1_16x16x64,6.894053348294337,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x64,6.98,97.48603351955308,3744
1,7168,8192,7.46,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_True_64x64x256_2x2x1_32x32x32,7.190882261388249,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_True_64x64x256_2x2x1_32x32x64,7.28,97.58713136729223,3744
1,8192,256,1.37,gemm_universal_fp8_rcr_compv4_default_intrawave_False_False_False_False_64x64x128_2x2x1_32x32x64,1.3587147163201594,gemm_universal_fp8_rcr_mem_default_intrawave_False_False_False_True_64x64x64_1x4x1_16x16x32,1.13,82.48175182481751,3744
1,8192,512,2.37,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x64,2.2470894285114498,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x32,2.16,91.13924050632912,3744
1,8192,1024,3.85,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x64,3.7502917978498354,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x32,3.82,99.2207792207792,3744
1,8192,1536,4.92,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x64,4.904546241250009,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x32,4.91,99.79674796747969,3744
1,8192,2048,5.69,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x32,5.560731542693373,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x64,5.69,100.0,3744
1,8192,2304,6.03,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x32,5.945429356490029,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x64,5.99,99.33665008291874,3744
1,8192,4096,7.48,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x32,7.189989550245209,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x64,7.44,99.46524064171123,3744
1,8192,7168,8.09,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_True_64x64x256_2x2x1_16x16x64,7.932357168746923,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x64,7.92,97.89864029666255,3744
1,8192,8192,8.42,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_True_64x64x256_2x2x1_32x32x64,8.190805949280339,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x64,8.2,97.38717339667457,3744
1,8192,28672,9.79,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_True_64x64x256_2x2x1_16x16x64,9.148861813731843,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_True_64x64x256_2x2x1_32x32x64,9.42,96.220633299285,3744
1,11008,256,1.83,gemm_universal_fp8_rcr_compv4_default_intrawave_False_False_False_False_64x64x128_2x2x1_32x32x64,1.642442845755653,gemm_universal_fp8_rcr_mem_default_intrawave_False_False_False_True_64x64x64_1x4x1_16x16x32,1.52,83.06010928961747,3744
1,11008,512,3.16,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x128_2x2x1_32x32x64,2.807681635042073,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x32,2.88,91.13924050632912,3744
1,11008,1024,5.17,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x64,4.772421035990215,gemm_universal_fp8_rcr_mem_default_intrawave_False_False_False_False_64x64x128_2x2x1_32x32x64,4.8,92.84332688588007,3744
1,11008,1536,6.51,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x32,6.4189244764269,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x64,6.51,100.0,3744
1,11008,2048,7.43,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x64,7.359363611523961,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x64,7.43,100.0,3744
1,11008,2304,7.96,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x32,7.924742719963841,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x64,7.94,99.74874371859298,3744
1,11008,4096,8.94,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x64,8.885120909520634,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x64,8.94,100.0,3744
1,11008,7168,10.49,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_True_64x64x256_2x2x1_16x16x64,10.211598115373535,gemm_universal_fp8_rcr_compv3_cshuffle_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x64,10.08,96.09151572926596,3744
1,11008,8192,10.86,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_16x16x64,10.68962791452599,gemm_universal_fp8_rcr_compv3_cshuffle_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x64,10.48,96.50092081031309,3744
1,14336,256,2.37,gemm_universal_fp8_rcr_compv4_default_intrawave_False_False_False_False_64x64x128_2x2x1_32x32x64,1.9471972935681165,gemm_universal_fp8_rcr_mem_default_intrawave_False_False_False_True_64x64x64_1x4x1_16x16x32,1.97,83.12236286919831,3744
1,14336,512,4.09,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x128_2x2x1_32x32x64,3.7092496359617373,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x32,3.74,91.44254278728607,3744
1,14336,1024,6.66,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x64,6.32243824357441,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_16x16x128,6.41,96.24624624624624,3744
1,14336,1536,8.42,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x64,8.07411189872809,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x32,8.32,98.812351543943,3744
1,14336,2048,9.63,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x64,9.151974697589438,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x32,9.01,93.56178608515057,3744
1,14336,2304,10.06,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x64,9.6351564920026,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x32,9.88,98.2107355864811,3744
1,14336,4096,10.81,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_True_64x64x256_2x2x1_16x16x128,10.782126785816207,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x64,9.59,88.71415356151711,3744
1,14336,7168,12.56,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_16x16x128,12.768614010321782,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x64,12.56,100.0,3744
1,14336,8192,12.97,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x32,13.278578929740046,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x64,12.93,99.69159599074787,3744
1,16384,1024,7.42,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x32,7.063056317124575,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_16x16x128,7.28,98.11320754716981,3744
1,16384,4096,11.6,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_4x1x1_16x16x128,11.903575630826722,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x32,11.52,99.3103448275862,3744
1,16384,8192,13.41,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_4x1x1_16x16x128,13.868345634255489,gemm_universal_fp8_rcr_compv3_cshuffle_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x64,12.72,94.85458612975391,3744
1,28672,256,4.39,gemm_universal_fp8_rcr_mem_default_interwave_False_False_False_False_64x64x256_2x2x1_32x32x64,3.5679478611188076,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x32,4.25,96.81093394077449,3744
1,28672,512,6.83,gemm_universal_fp8_rcr_mem_default_intrawave_False_False_False_False_64x64x128_2x2x1_32x32x64,6.483469948757393,gemm_universal_fp8_rcr_mem_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x64,6.73,98.5358711566618,3744
1,28672,1024,9.93,gemm_universal_fp8_rcr_mem_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x64,9.398185062960252,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_16x16x128,9.83,98.99295065458207,3744
1,28672,1536,10.58,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x64,10.158893033798222,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_16x16x64,10.27,97.06994328922495,3744
1,28672,2048,12.51,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x32,11.915967576162915,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_16x16x128,11.34,90.64748201438849,840
16,512,7168,9.25,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x32,8.98594965936641,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x32,9.25,100.0,3744
16,576,7168,10.39,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x32,10.089906259442259,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x32,10.39,100.0,2352
16,1536,7168,27.57,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x32,26.361153111260823,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x32,27.57,100.0,4608
16,3072,1536,30.97,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x64,30.5004387449829,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x32,30.82,99.51566031643526,4608
16,4096,512,20.12,gemm_universal_fp8_rcr_mem_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x64,18.88834071968956,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x128_2x2x1_32x32x64,20.06,99.7017892644135,3744
16,4608,7168,78.14,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_True_64x64x256_2x2x1_32x32x32,74.9763448752523,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x64,77.56,99.25774251343742,4608
16,7168,256,20.54,gemm_universal_fp8_rcr_mem_default_interwave_False_False_False_False_64x64x256_2x2x1_32x32x64,16.398702800584598,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_16x16x64,19.51,94.98539435248297,3744
16,7168,2048,81.33,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x32,79.41561370485147,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x64,81.05,99.6557235952293,3744
16,7168,2304,86.9,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x32,84.40933538660052,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x64,86.25,99.25201380897583,3744
32,512,7168,18.49,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x32,18.323025293652385,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x64,17.78,96.16008653326124,3744
32,576,7168,20.7,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x32,20.751972431844102,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x64,19.86,95.94202898550725,2352
32,1536,7168,55.05,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x32,52.256472260040866,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x64,52.8,95.91280653950953,4608
32,3072,1536,61.37,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x32,61.796020218822264,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x64,61.2,99.7229916897507,4608
32,4096,512,39.73,gemm_universal_fp8_rcr_mem_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x64,41.66924000709212,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_16x16x64,35.69,89.83136169141707,3744
32,4608,7168,154.44,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_16x16x64,147.74561263059672,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x64,151.66,98.1999481999482,4608
32,7168,256,41.17,gemm_universal_fp8_rcr_mem_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x64,50.1070196551436,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_16x16x64,37.72,91.62011173184356,3744
32,7168,2048,161.5,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x64,156.82318891069306,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x64,161.5,100.0,3744
32,7168,2304,170.94,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x64,165.48657105797517,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x64,170.94,100.0,3744
64,512,7168,36.94,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x32,35.86474485327129,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x32,36.94,100.0,3744
64,576,7168,41.44,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x32,40.164845027827916,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x32,41.44,100.0,2352
64,1536,7168,109.86,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x32,105.73891734216926,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x32,109.86,100.0,4608
64,3072,1536,122.5,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x64,121.09920210835169,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x64,122.5,100.0,4608
64,4096,512,79.83,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x128_2x2x1_32x32x64,87.17605504209665,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x32,72.13,90.35450331955404,3744
64,4608,7168,291.93,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x64,300.83390043640236,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x64,291.93,100.0,4608
64,7168,256,80.64,gemm_universal_fp8_rcr_mem_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x64,109.94488148151653,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_16x16x64,75.91,94.1344246031746,3744
64,7168,2048,321.23,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x32,321.29092149875606,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x64,320.31,99.71360084674532,3744
64,7168,2304,340.74,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x32,334.3957140782724,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x64,339.82,99.72999941304221,3744
128,512,7168,72.52,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x32,70.08252707364302,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x32,72.52,100.0,3744
128,576,7168,80.98,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x32,79.45091936451307,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x32,80.98,100.0,2352
128,1536,7168,212.75,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x32,209.7165803164429,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x64,205.43,96.5593419506463,4608
128,3072,1536,228.68,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x64,233.05138431843747,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x32,226.34,98.97673605037608,4608
128,4096,512,147.04,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x128_2x2x1_32x32x64,155.33073912285786,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x32,134.51,91.47850924918389,3744
128,4608,7168,561.88,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_True_64x64x256_2x2x1_32x32x64,573.4224503982853,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x64,559.74,99.61913575852496,4608
128,7168,256,143.82,gemm_universal_fp8_rcr_mem_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x64,154.3321028744528,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x128_2x2x1_32x32x64,142.08,98.7901543596162,3744
128,7168,2048,589.34,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x64,576.8376762297387,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x64,589.34,100.0,3744
128,7168,2304,625.42,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x64,621.890164030725,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x64,625.42,100.0,3744
256,512,7168,143.53,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x32,139.27788847546248,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x32,143.53,100.0,3744
256,576,7168,159.04,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x32,157.36957124079595,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x64,154.52,97.15794768611671,2352
256,1536,7168,412.58,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x32,398.54201354573564,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x64,404.17,97.96160744582869,4608
256,3072,1536,439.32,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x32,445.73941689948447,gemm_universal_fp8_rcr_compv3_default_intrawave_False_False_False_False_64x64x256_2x2x1_32x32x64,437.86,99.66766821451334,4608
