dtype,M,N,K,selected_kernel,predicted_tflops,selection_time_ms,actual_time_ms,actual_tflops,status,error
fp16,64,64,64,s_64x64_k64_mem,-1.2338297283878357,73.96793365478516,0.003344000084325671,0.1567846850415748,SUCCESS,
fp16,256,256,512,s_64x64_k64_v4,32.77462187706782,8.089542388916016,0.007608000189065933,8.82082838226628,SUCCESS,
fp16,1024,1024,2048,s_64x64_k128_v3,431.93343428166884,14.562845230102539,0.022112099453806877,194.23606993864922,SUCCESS,
fp16,4096,4096,2048,l_256x256_k64_v3,884.8088404127977,12.252330780029297,0.1036808043718338,662.798452928173,SUCCESS,
fp16,5,5,5,m_128x128_k32_v4,-1.4846612658033196,12.395858764648438,0,0,UNSUPPORTED,Problem size not supported by kernel
fp16,19,19,19,m_128x128_k32_v4,-1.3408039929581947,12.750625610351562,0,0,UNSUPPORTED,Problem size not supported by kernel
fp16,47,47,47,m_128x128_k32_v4,-1.5687707304855683,14.975309371948242,0,0,UNSUPPORTED,Problem size not supported by kernel
fp16,73,73,73,m_128x128_k32_v4,-3.3643128144671293,3.3164024353027344,0,0,UNSUPPORTED,Problem size not supported by kernel
fp16,101,101,101,s_64x64_k64_mem,1.2603314484459744,2.4404525756835938,0,0,RUN_FAIL,Kernel execution failed
fp16,119,119,119,s_64x64_k64_mem,4.004012150480106,7.188320159912109,0,0,RUN_FAIL,Kernel execution failed
fp16,151,151,151,s_64x64_k64_mem,3.703908149185852,8.86225700378418,0,0,RUN_FAIL,Kernel execution failed
fp16,191,191,191,s_64x64_k32_v4,11.234850374609941,12.249469757080078,0,0,RUN_FAIL,Kernel execution failed
fp16,233,233,233,s_64x64_k64_v4,19.3722499712045,12.586116790771484,0,0,RUN_FAIL,Kernel execution failed
fp16,271,271,271,s_64x64_k64_v4,20.75133831838309,7.845163345336914,0,0,RUN_FAIL,Kernel execution failed
fp16,313,313,313,s_64x64_k64_v4,33.114363567999234,12.38250732421875,0,0,RUN_FAIL,Kernel execution failed
fp16,359,359,359,s_64x64_k64_v4,33.90643362746853,16.42465591430664,0,0,RUN_FAIL,Kernel execution failed
fp16,409,409,409,s_64x64_k64_v4,68.83054669582839,12.211084365844727,0,0,RUN_FAIL,Kernel execution failed
fp16,449,449,449,s_64x64_k64_v4,71.45530690397271,11.90805435180664,0,0,RUN_FAIL,Kernel execution failed
fp16,499,499,499,s_64x64_k64_v4,77.79809060984996,11.674642562866211,0,0,RUN_FAIL,Kernel execution failed
fp16,557,557,557,s_64x64_k128_v3,86.81055968788885,28.21660041809082,0,0,RUN_FAIL,Kernel execution failed
fp16,599,599,599,s_64x64_k128_v3,90.37935569130639,12.037038803100586,0,0,RUN_FAIL,Kernel execution failed
fp16,643,643,643,s_64x64_k64_v4,88.38166774236998,11.617422103881836,0,0,RUN_FAIL,Kernel execution failed
fp16,683,683,683,s_64x64_k64_mem,110.73142397431167,6.717443466186523,0,0,RUN_FAIL,Kernel execution failed
fp16,743,743,743,s_64x64_k128_mem,167.18466476814234,12.360572814941406,0,0,RUN_FAIL,Kernel execution failed
fp16,3,3,256,s_64x64_k64_mem,1.7125488591528168,6.691932678222656,0,0,RUN_FAIL,Kernel execution failed
fp16,3,27,256,s_64x64_k64_mem,2.6104812137951625,6.900787353515625,0,0,RUN_FAIL,Kernel execution failed
fp16,3,63,128,s_64x64_k64_mem,4.64788919673148,16.81971549987793,0,0,RUN_FAIL,Kernel execution failed
fp16,3,99,128,s_64x64_k64_mem,4.597725924141436,12.409687042236328,0,0,RUN_FAIL,Kernel execution failed
fp16,3,111,1024,s_64x64_k64_mem,1.7390812386489838,6.6680908203125,0,0,RUN_FAIL,Kernel execution failed
fp16,3,149,1024,s_64x64_k64_mem,1.768134906185919,6.768703460693359,0,0,RUN_FAIL,Kernel execution failed
fp16,3,197,512,s_64x64_k64_mem,6.030382059728686,5.778074264526367,0,0,RUN_FAIL,Kernel execution failed
fp16,3,257,512,s_64x64_k128_v3,6.0708557348425165,12.887954711914062,0,0,RUN_FAIL,Kernel execution failed
fp16,3,311,256,s_64x64_k64_mem,5.88543710059579,6.667137145996094,0,0,RUN_FAIL,Kernel execution failed
fp16,5,15,256,s_64x64_k64_mem,2.5906384808229954,11.391878128051758,0,0,RUN_FAIL,Kernel execution failed
fp16,5,47,128,s_64x64_k128_mem,4.049565076871599,13.150453567504883,0,0,RUN_FAIL,Kernel execution failed
fp16,5,83,128,s_64x64_k128_mem,5.070294592761537,7.33494758605957,0,0,RUN_FAIL,Kernel execution failed
fp16,5,101,1024,s_64x64_k64_mem,1.2452726040484055,7.518291473388672,0,0,RUN_FAIL,Kernel execution failed
fp16,5,127,1024,s_64x64_k64_mem,1.6835599377676425,11.939525604248047,0,0,RUN_FAIL,Kernel execution failed
fp16,5,179,1024,s_64x64_k64_mem,1.790476989094643,11.760950088500977,0,0,RUN_FAIL,Kernel execution failed
fp16,5,233,512,s_64x64_k64_mem,6.474624357483029,12.22991943359375,0,0,RUN_FAIL,Kernel execution failed
fp16,5,283,512,s_64x64_k64_mem,6.380063903251371,17.897844314575195,0,0,RUN_FAIL,Kernel execution failed
fp16,7,7,256,s_64x64_k64_v4,3.1747288653085306,6.68025016784668,0,0,RUN_FAIL,Kernel execution failed
fp16,7,33,256,m_128x128_k32_v4,4.306872356001445,11.516094207763672,0,0,UNSUPPORTED,Problem size not supported by kernel
fp16,7,71,128,m_128x128_k32_v4,4.0492592390536615,6.129026412963867,0,0,UNSUPPORTED,Problem size not supported by kernel
fp16,7,103,128,m_128x128_k32_v4,5.188267986208164,6.581544876098633,0,0,UNSUPPORTED,Problem size not supported by kernel
fp16,7,117,1024,s_64x64_k64_mem,4.025244662824709,5.478858947753906,0,0,RUN_FAIL,Kernel execution failed
fp16,7,157,1024,s_64x64_k64_mem,5.032084951732086,2.9234886169433594,0,0,RUN_FAIL,Kernel execution failed
fp16,7,211,512,s_64x64_k64_mem,6.182125000481308,8.707046508789062,0,0,RUN_FAIL,Kernel execution failed
fp16,7,269,512,s_64x64_k64_mem,6.182125000481308,6.665229797363281,0,0,RUN_FAIL,Kernel execution failed
fp16,7,317,256,s_64x64_k64_v4,7.522607640972562,11.308670043945312,0,0,RUN_FAIL,Kernel execution failed
fp16,9,19,256,s_64x64_k64_v4,4.1419049277537185,12.384414672851562,0,0,RUN_FAIL,Kernel execution failed
fp16,9,59,128,m_128x128_k32_v4,4.640896273998293,6.593465805053711,0,0,UNSUPPORTED,Problem size not supported by kernel
fp16,9,91,128,m_128x128_k32_v4,4.421381969659892,6.111383438110352,0,0,UNSUPPORTED,Problem size not supported by kernel
fp16,9,107,1024,s_64x64_k64_mem,4.350457013357453,6.616830825805664,0,0,RUN_FAIL,Kernel execution failed
fp16,9,137,1024,s_64x64_k64_mem,4.230130690103464,6.61158561706543,0,0,RUN_FAIL,Kernel execution failed
fp16,9,191,512,s_64x64_k64_mem,5.36166009090193,8.881330490112305,0,0,RUN_FAIL,Kernel execution failed
fp16,9,241,512,s_64x64_k64_mem,6.247909827779614,6.893634796142578,0,0,RUN_FAIL,Kernel execution failed
fp16,9,299,512,s_64x64_k64_mem,6.77347153824876,6.707668304443359,0,0,RUN_FAIL,Kernel execution failed
fp16,11,11,256,s_64x64_k64_v4,3.9061013958956523,8.030176162719727,0,0,RUN_FAIL,Kernel execution failed
fp16,11,41,256,s_64x64_k64_v4,4.801557126827868,11.843204498291016,0,0,RUN_FAIL,Kernel execution failed
fp16,11,77,128,m_128x128_k32_v4,4.651127508094576,11.100053787231445,0,0,UNSUPPORTED,Problem size not supported by kernel
fp16,11,109,128,m_128x128_k32_v4,4.740953057802429,12.998104095458984,0,0,UNSUPPORTED,Problem size not supported by kernel
fp16,11,121,1024,s_64x64_k64_mem,4.410585253937037,6.591081619262695,0,0,RUN_FAIL,Kernel execution failed
fp16,11,167,1024,s_64x64_k64_mem,4.517502305264035,17.276287078857422,0,0,RUN_FAIL,Kernel execution failed
fp16,11,227,512,s_64x64_k64_mem,6.246810698407845,9.487390518188477,0,0,RUN_FAIL,Kernel execution failed
fp16,11,277,512,s_64x64_k64_mem,6.246810698407845,7.8144073486328125,0,0,RUN_FAIL,Kernel execution failed
fp16,11,337,256,s_64x64_k64_v4,7.966202435310659,7.989168167114258,0,0,RUN_FAIL,Kernel execution failed
fp16,13,13,256,s_64x64_k64_v4,4.000661850127308,11.61336898803711,0,0,RUN_FAIL,Kernel execution failed
fp16,13,43,128,s_64x64_k128_mem,4.317434578689416,12.899160385131836,0,0,RUN_FAIL,Kernel execution failed
fp16,13,79,128,m_128x128_k32_v4,4.350352650788323,6.501436233520508,0,0,UNSUPPORTED,Problem size not supported by kernel
fp16,13,99,1024,s_64x64_k64_mem,3.261878920834633,6.134986877441406,0,0,RUN_FAIL,Kernel execution failed
fp16,13,123,1024,s_64x64_k64_mem,3.134458261685703,6.565570831298828,0,0,RUN_FAIL,Kernel execution failed
fp16,13,173,512,s_64x64_k64_v4,6.584537350433603,11.710166931152344,0,0,RUN_FAIL,Kernel execution failed
fp16,13,229,512,s_64x64_k64_v4,7.93242299117244,11.586427688598633,0,0,RUN_FAIL,Kernel execution failed
fp16,13,281,256,s_64x64_k64_v4,7.877816757653787,11.486291885375977,0,0,RUN_FAIL,Kernel execution failed
fp16,15,5,256,s_64x64_k128_mem,3.9944199551474733,11.410713195800781,0,0,RUN_FAIL,Kernel execution failed
fp16,15,31,256,s_64x64_k64_v4,4.6676819144870665,11.388063430786133,0,0,RUN_FAIL,Kernel execution failed
fp16,15,67,128,s_64x64_k128_v3,4.652210095349305,11.601686477661133,0,0,RUN_FAIL,Kernel execution failed
fp16,15,101,128,s_64x64_k128_mem,4.91305178664158,12.694120407104492,0,0,RUN_FAIL,Kernel execution failed
fp16,15,113,1024,s_64x64_k64_mem,3.7154810749077853,11.318445205688477,0,0,RUN_FAIL,Kernel execution failed
fp16,15,151,1024,s_64x64_k64_mem,3.6949774670858555,21.47817611694336,0,0,RUN_FAIL,Kernel execution failed
fp16,15,199,512,s_64x64_k64_v4,8.041246324829956,11.410713195800781,0,0,RUN_FAIL,Kernel execution failed
fp16,15,263,512,s_64x64_k64_v4,8.502882228691105,6.654024124145508,0,0,RUN_FAIL,Kernel execution failed
fp16,15,313,256,s_64x64_k64_v4,8.948212592640488,11.477470397949219,0,0,RUN_FAIL,Kernel execution failed
fp16,17,17,256,s_64x64_k64_v4,4.4823170124928815,6.5402984619140625,0,0,RUN_FAIL,Kernel execution failed
fp16,17,51,128,s_64x64_k128_mem,4.332588442556865,6.620168685913086,0,0,RUN_FAIL,Kernel execution failed
fp16,17,89,128,m_128x128_k32_v4,4.283600036899863,6.966829299926758,0,0,UNSUPPORTED,Problem size not supported by kernel
fp16,17,103,1024,s_64x64_k64_mem,3.5117691255837657,6.071329116821289,0,0,RUN_FAIL,Kernel execution failed
fp16,17,131,1024,s_64x64_k64_mem,3.5325164045975472,6.664752960205078,0,0,RUN_FAIL,Kernel execution failed
fp16,17,181,512,s_64x64_k64_v4,7.512194044763179,6.508827209472656,0,0,RUN_FAIL,Kernel execution failed
fp16,17,239,512,s_64x64_k64_v4,8.183599223439316,6.870508193969727,0,0,RUN_FAIL,Kernel execution failed
fp16,17,293,256,s_64x64_k64_v4,8.083663163042532,6.556034088134766,0,0,RUN_FAIL,Kernel execution failed
fp16,19,9,256,s_64x64_k128_mem,5.698448147430414,6.666421890258789,0,0,RUN_FAIL,Kernel execution failed
fp16,19,37,128,s_64x64_k128_mem,3.6800522699262745,4.639148712158203,0,0,RUN_FAIL,Kernel execution failed
fp16,19,73,128,m_128x128_k32_v4,4.270685256274853,6.417274475097656,0,0,UNSUPPORTED,Problem size not supported by kernel
fp16,19,107,128,m_128x128_k32_v4,4.487931465131632,10.389089584350586,0,0,UNSUPPORTED,Problem size not supported by kernel
fp16,19,119,1024,s_64x64_k64_mem,4.232422666354405,6.569385528564453,0,0,RUN_FAIL,Kernel execution failed
