dtype,M,N,K,selected_kernel,predicted_tflops,selection_time_ms,actual_time_ms,actual_tflops,status,error
fp16,64,64,64,s_64x64_k32_v4,8.739574128975509,181.43081665039062,0.0035719997249543667,0.14677716695700416,SUCCESS,
fp16,101,101,101,s_64x64_k128_v3,6.203550550334851,14.791727066040039,0,0,RUN_FAIL,Kernel execution failed
fp16,409,409,409,s_64x64_k128_v3,68.41815804542236,12.264251708984375,0,0,RUN_FAIL,Kernel execution failed
fp16,3,3,256,m_128x128_k32_v3,0.5879675705777767,11.977195739746094,0,0,RUN_FAIL,Kernel execution failed
fp16,3,311,256,s_64x64_k32_v4,1.5092916205848168,12.14599609375,0,0,RUN_FAIL,Kernel execution failed
fp16,5,283,512,s_64x64_k64_v4,1.7488182124386051,12.684106826782227,0,0,RUN_FAIL,Kernel execution failed
fp16,7,269,512,s_64x64_k64_v4,1.9866258389076505,12.425422668457031,0,0,RUN_FAIL,Kernel execution failed
fp16,9,241,512,s_64x64_k64_v4,2.053812775012909,14.43028450012207,0,0,RUN_FAIL,Kernel execution failed
fp16,11,227,512,s_64x64_k64_v4,2.188490089111115,13.057470321655273,0,0,RUN_FAIL,Kernel execution failed
fp16,13,173,512,s_64x64_k32_v4,2.1717467542666813,13.548135757446289,0,0,RUN_FAIL,Kernel execution failed
fp16,15,151,1024,s_64x64_k32_v4,2.3743351917518956,11.663436889648438,0,0,RUN_FAIL,Kernel execution failed
fp16,17,131,1024,s_64x64_k64_v4,2.3219121074922158,13.75126838684082,0,0,RUN_FAIL,Kernel execution failed
fp16,19,119,1024,s_64x64_k32_v4,2.4147497168966088,13.682365417480469,0,0,RUN_FAIL,Kernel execution failed
fp16,23,109,1024,s_64x64_k64_v4,2.445702847999507,12.5274658203125,0,0,RUN_FAIL,Kernel execution failed
fp16,27,79,1024,s_64x64_k64_v4,2.3672052440242024,14.607906341552734,0,0,RUN_FAIL,Kernel execution failed
fp16,31,83,128,s_64x64_k32_v4,8.133714570633195,12.780904769897461,0,0,RUN_FAIL,Kernel execution failed
fp16,33,71,128,s_64x64_k32_v4,8.06496344555521,17.78435707092285,0,0,RUN_FAIL,Kernel execution failed
fp16,37,59,128,s_64x64_k32_v4,8.217853969994254,170.13096809387207,0,0,RUN_FAIL,Kernel execution failed
fp16,41,41,128,s_64x64_k32_v4,8.794039081284165,6.954193115234375,0,0,RUN_FAIL,Kernel execution failed
fp16,43,13,256,s_64x64_k32_v4,8.64534237380004,12.836217880249023,0,0,RUN_FAIL,Kernel execution failed
fp16,47,5,256,s_64x64_k32_v4,8.6023559605807,8.393526077270508,0,0,RUN_FAIL,Kernel execution failed
fp16,47,313,256,s_64x64_k32_v4,7.971116372524711,11.862754821777344,0,0,RUN_FAIL,Kernel execution failed
fp16,51,293,256,s_64x64_k32_v4,7.913085379868929,15.552043914794922,0,0,RUN_FAIL,Kernel execution failed
fp16,59,271,256,s_64x64_k128_v3,8.268295822478509,11.97195053100586,0,0,RUN_FAIL,Kernel execution failed
fp16,61,251,512,s_64x64_k128_v3,8.665537902653277,12.473344802856445,0,0,RUN_FAIL,Kernel execution failed
fp16,63,197,512,s_64x64_k128_v3,8.266172026898122,12.692928314208984,0,0,RUN_FAIL,Kernel execution failed
fp16,67,179,512,r_128x64_k64_v3,6.519351556240056,16.463041305541992,0,0,RUN_FAIL,Kernel execution failed
fp16,71,157,512,r_128x64_k64_v3,6.4008965308925605,8.06570053100586,0,0,RUN_FAIL,Kernel execution failed
fp16,73,137,512,r_128x64_k64_v3,6.368053952890826,8.629798889160156,0,0,RUN_FAIL,Kernel execution failed
fp16,77,121,1024,r_128x64_k64_v3,6.178346602649118,16.655683517456055,0,0,RUN_FAIL,Kernel execution failed
fp16,79,99,1024,r_128x64_k64_v3,6.17718532750659,8.503198623657227,0,0,RUN_FAIL,Kernel execution failed
fp16,83,83,1024,s_64x64_k128_v3,6.265530657234023,118.87907981872559,0,0,RUN_FAIL,Kernel execution failed
fp16,89,71,1024,s_64x64_k128_v3,6.247894405843978,6.9599151611328125,0,0,RUN_FAIL,Kernel execution failed
fp16,91,59,1024,s_64x64_k128_v3,6.2714820536215985,16.547203063964844,0,0,RUN_FAIL,Kernel execution failed
fp16,97,61,128,r_128x64_k64_v3,8.528899548422308,15.793323516845703,0,0,RUN_FAIL,Kernel execution failed
fp16,99,27,128,r_128x64_k64_v3,8.47463405952766,17.123699188232422,0,0,RUN_FAIL,Kernel execution failed
fp16,101,15,128,r_128x64_k64_v3,8.365360946186955,16.954421997070312,0,0,RUN_FAIL,Kernel execution failed
fp16,103,7,128,s_64x64_k32_v4,8.527852585125288,14.982223510742188,0,0,RUN_FAIL,Kernel execution failed
fp16,103,317,256,s_64x64_k128_v3,8.64132468249781,19.765138626098633,0,0,RUN_FAIL,Kernel execution failed
fp16,107,299,256,s_64x64_k128_v3,8.652126379393634,12.393712997436523,0,0,RUN_FAIL,Kernel execution failed
fp16,109,277,256,s_64x64_k128_v3,8.445393264100526,12.359142303466797,0,0,RUN_FAIL,Kernel execution failed
fp16,111,229,256,s_64x64_k128_v3,8.521787691201904,21.142005920410156,0,0,RUN_FAIL,Kernel execution failed
fp16,113,199,256,s_64x64_k128_v3,8.239265105594875,7.578372955322266,0,0,RUN_FAIL,Kernel execution failed
fp16,117,181,512,s_64x64_k128_v3,11.67465264024305,106.40168190002441,0,0,RUN_FAIL,Kernel execution failed
fp16,119,163,512,s_64x64_k128_v3,8.580095303912826,16.010284423828125,0,0,RUN_FAIL,Kernel execution failed
fp16,121,139,512,s_64x64_k128_v3,8.238830667396396,15.91348648071289,0,0,RUN_FAIL,Kernel execution failed
fp16,123,111,512,s_64x64_k128_v3,7.583799625840799,13.052701950073242,0,0,UNSUPPORTED,Problem size not supported by kernel
fp16,127,101,512,s_64x64_k128_v3,7.530872039809619,12.17961311340332,0,0,RUN_FAIL,Kernel execution failed
fp16,131,89,1024,s_64x64_k128_v3,4.6359033001982235,12.780427932739258,0,0,RUN_FAIL,Kernel execution failed
fp16,137,73,1024,s_64x64_k128_v3,4.607790828577003,7.182836532592773,0,0,RUN_FAIL,Kernel execution failed
fp16,139,61,1024,s_64x64_k128_v3,4.696900932808133,12.377023696899414,0,0,RUN_FAIL,Kernel execution failed
fp16,149,27,1024,s_64x64_k128_v3,8.464091339641527,15.874624252319336,0,0,RUN_FAIL,Kernel execution failed
fp16,151,15,1024,s_64x64_k64_v4,8.417992305974186,7.65228271484375,0,0,RUN_FAIL,Kernel execution failed
fp16,157,17,128,s_64x64_k32_v4,8.134866488555414,12.789487838745117,0,0,RUN_FAIL,Kernel execution failed
fp16,163,9,128,s_64x64_k32_v4,8.389687110900638,10.458230972290039,0,0,RUN_FAIL,Kernel execution failed
fp16,163,331,128,s_64x64_k128_v3,9.39727532704776,11.598825454711914,0,0,RUN_FAIL,Kernel execution failed
fp16,167,307,128,s_64x64_k128_v3,9.330729701106067,13.207674026489258,0,0,RUN_FAIL,Kernel execution failed
fp16,173,257,256,s_64x64_k128_v3,13.37039719483708,16.21079444885254,0,0,RUN_FAIL,Kernel execution failed
fp16,179,233,256,s_64x64_k128_v3,13.300649972159743,24.849653244018555,0,0,RUN_FAIL,Kernel execution failed
fp16,181,211,256,s_64x64_k128_v3,12.999138382784201,11.893749237060547,0,0,RUN_FAIL,Kernel execution failed
fp16,191,191,256,s_64x64_k128_v3,12.953831340534435,11.768102645874023,0,0,RUN_FAIL,Kernel execution failed
fp16,193,167,256,r_128x64_k64_v3,10.186315924736185,11.878728866577148,0,0,RUN_FAIL,Kernel execution failed
fp16,197,123,512,r_128x64_k64_v3,8.821465881576902,17.966270446777344,0,0,RUN_FAIL,Kernel execution failed
fp16,199,113,512,r_128x64_k64_v3,8.810828743567797,7.720947265625,0,0,RUN_FAIL,Kernel execution failed
fp16,211,103,512,r_128x64_k64_v3,6.824407836556722,10.642051696777344,0,0,RUN_FAIL,Kernel execution failed
fp16,223,91,512,s_64x64_k128_v3,6.866051249363584,15.426397323608398,0,0,RUN_FAIL,Kernel execution failed
fp16,227,77,512,s_64x64_k128_v3,6.8671475783907505,12.633800506591797,0,0,RUN_FAIL,Kernel execution failed
fp16,229,43,1024,s_64x64_k128_v3,6.841856617699799,16.860008239746094,0,0,RUN_FAIL,Kernel execution failed
fp16,233,31,1024,s_64x64_k64_v4,10.004460794322343,17.126798629760742,0,0,RUN_FAIL,Kernel execution failed
fp16,239,17,1024,s_64x64_k64_v4,9.760050750230171,11.715412139892578,0,0,RUN_FAIL,Kernel execution failed
fp16,241,9,1024,s_64x64_k64_v4,9.883031149086417,11.426210403442383,0,0,RUN_FAIL,Kernel execution failed
fp16,241,331,1024,s_64x64_k64_v4,50.73741390457647,12.693405151367188,0,0,RUN_FAIL,Kernel execution failed
fp16,251,337,128,s_64x64_k128_v3,18.305337886938332,16.50381088256836,0,0,RUN_FAIL,Kernel execution failed
fp16,257,281,128,s_64x64_k128_v3,9.38257578886399,15.021085739135742,0,0,RUN_FAIL,Kernel execution failed
fp16,263,263,128,s_64x64_k128_v3,10.722799762849705,7.029056549072266,0,0,RUN_FAIL,Kernel execution failed
fp16,269,239,128,s_64x64_k128_v3,10.751430224526956,10.921955108642578,0,0,RUN_FAIL,Kernel execution failed
fp16,271,223,256,s_64x64_k128_v3,11.063397716845577,15.694379806518555,0,0,RUN_FAIL,Kernel execution failed
fp16,277,193,256,s_64x64_k128_v3,12.470751688062991,11.823177337646484,0,0,RUN_FAIL,Kernel execution failed
fp16,281,149,256,s_64x64_k128_v3,11.827677865341899,129.77004051208496,0,0,RUN_FAIL,Kernel execution failed
fp16,283,127,256,s_64x64_k128_v3,10.316382815578873,13.104677200317383,0,0,RUN_FAIL,Kernel execution failed
fp16,293,117,256,s_64x64_k128_v3,10.292601871426907,12.760400772094727,0,0,RUN_FAIL,Kernel execution failed
fp16,299,107,512,s_64x64_k128_v3,10.967095914546883,11.639833450317383,0,0,RUN_FAIL,Kernel execution failed
