curve_name,pv_mode,topk,pv_threshold,qscale,measured_sparsity,active_blocks,total_blocks,mean_ns,tops,seed,run_id
sparge_fp16,warp,0.8000,20,,0.200000,208896,262144,3006533.0,365.707,45,sparge_fp16__topk0.80__seed45
sparge_fp16,warp,0.8000,20,,0.200000,208896,262144,3011317.0,365.126,46,sparge_fp16__topk0.80__seed46
sparge_fp16,warp,0.9000,20,,0.110000,233472,262144,3371846.0,326.086,42,sparge_fp16__topk0.90__seed42
sparge_fp16,warp,0.9000,20,,0.110000,233472,262144,3364066.0,326.840,43,sparge_fp16__topk0.90__seed43
sparge_fp16,warp,0.9000,20,,0.110000,233472,262144,3375298.0,325.752,44,sparge_fp16__topk0.90__seed44
sparge_fp16,warp,0.9000,20,,0.110000,233472,262144,3365288.0,326.721,45,sparge_fp16__topk0.90__seed45
sparge_fp16,warp,0.9000,20,,0.110000,233472,262144,3361860.0,327.055,46,sparge_fp16__topk0.90__seed46
sparge_sage,warp,0.1000,20,bs,0.910000,24576,262144,367904.0,2988.583,42,sparge_sage__topk0.10__seed42
sparge_sage,warp,0.1000,20,bs,0.910000,24576,262144,370360.0,2968.765,43,sparge_sage__topk0.10__seed43
sparge_sage,warp,0.1000,20,bs,0.910000,24576,262144,366915.0,2996.639,44,sparge_sage__topk0.10__seed44
sparge_sage,warp,0.1000,20,bs,0.910000,24576,262144,368880.0,2980.676,45,sparge_sage__topk0.10__seed45
sparge_sage,warp,0.1000,20,bs,0.910000,24576,262144,366205.0,3002.448,46,sparge_sage__topk0.10__seed46
sparge_sage,warp,0.2000,20,bs,0.810000,49152,262144,660538.0,1664.570,42,sparge_sage__topk0.20__seed42
sparge_sage,warp,0.2000,20,bs,0.810000,49152,262144,667242.0,1647.845,43,sparge_sage__topk0.20__seed43
sparge_sage,warp,0.2000,20,bs,0.810000,49152,262144,655438.0,1677.522,44,sparge_sage__topk0.20__seed44
sparge_sage,warp,0.2000,20,bs,0.810000,49152,262144,667166.0,1648.033,45,sparge_sage__topk0.20__seed45
sparge_sage,warp,0.2000,20,bs,0.810000,49152,262144,666488.0,1649.710,46,sparge_sage__topk0.20__seed46
sparge_sage,warp,0.3000,20,bs,0.700000,77824,262144,1015721.0,1082.494,42,sparge_sage__topk0.30__seed42
sparge_sage,warp,0.3000,20,bs,0.700000,77824,262144,1012868.0,1085.543,43,sparge_sage__topk0.30__seed43
sparge_sage,warp,0.3000,20,bs,0.700000,77824,262144,1013773.0,1084.574,44,sparge_sage__topk0.30__seed44
sparge_sage,warp,0.3000,20,bs,0.700000,77824,262144,1005806.0,1093.165,45,sparge_sage__topk0.30__seed45
sparge_sage,warp,0.3000,20,bs,0.700000,77824,262144,1019165.0,1078.836,46,sparge_sage__topk0.30__seed46
sparge_sage,warp,0.4000,20,bs,0.610000,102400,262144,1305164.0,842.432,42,sparge_sage__topk0.40__seed42
sparge_sage,warp,0.4000,20,bs,0.610000,102400,262144,1299575.0,846.055,43,sparge_sage__topk0.40__seed43
sparge_sage,warp,0.4000,20,bs,0.610000,102400,262144,1304647.0,842.766,44,sparge_sage__topk0.40__seed44
sparge_sage,warp,0.4000,20,bs,0.610000,102400,262144,1298965.0,846.452,45,sparge_sage__topk0.40__seed45
sparge_sage,warp,0.4000,20,bs,0.610000,102400,262144,1303858.0,843.276,46,sparge_sage__topk0.40__seed46
sparge_sage,warp,0.5000,20,bs,0.500000,131072,262144,1633932.0,672.924,42,sparge_sage__topk0.50__seed42
sparge_sage,warp,0.5000,20,bs,0.500000,131072,262144,1640967.0,670.039,43,sparge_sage__topk0.50__seed43
sparge_sage,warp,0.5000,20,bs,0.500000,131072,262144,1639404.0,670.678,44,sparge_sage__topk0.50__seed44
sparge_sage,warp,0.5000,20,bs,0.500000,131072,262144,1629066.0,674.934,45,sparge_sage__topk0.50__seed45
sparge_sage,warp,0.5000,20,bs,0.500000,131072,262144,1641719.0,669.732,46,sparge_sage__topk0.50__seed46
sparge_sage,warp,0.6000,20,bs,0.410000,155648,262144,1946329.0,564.916,42,sparge_sage__topk0.60__seed42
sparge_sage,warp,0.6000,20,bs,0.410000,155648,262144,1933134.0,568.772,43,sparge_sage__topk0.60__seed43
sparge_sage,warp,0.6000,20,bs,0.410000,155648,262144,1947073.0,564.700,44,sparge_sage__topk0.60__seed44
sparge_sage,warp,0.6000,20,bs,0.410000,155648,262144,1945532.0,565.147,45,sparge_sage__topk0.60__seed45
sparge_sage,warp,0.6000,20,bs,0.410000,155648,262144,1941651.0,566.277,46,sparge_sage__topk0.60__seed46
sparge_sage,warp,0.7000,20,bs,0.310000,180224,262144,2240176.0,490.815,42,sparge_sage__topk0.70__seed42
sparge_sage,warp,0.7000,20,bs,0.310000,180224,262144,2241968.0,490.423,43,sparge_sage__topk0.70__seed43
sparge_sage,warp,0.7000,20,bs,0.310000,180224,262144,2237759.0,491.345,44,sparge_sage__topk0.70__seed44
sparge_sage,warp,0.7000,20,bs,0.310000,180224,262144,2240402.0,490.765,45,sparge_sage__topk0.70__seed45
sparge_sage,warp,0.7000,20,bs,0.310000,180224,262144,2244411.0,489.889,46,sparge_sage__topk0.70__seed46
sparge_sage,warp,0.8000,20,bs,0.200000,208896,262144,2573969.0,427.166,42,sparge_sage__topk0.80__seed42
sparge_sage,warp,0.8000,20,bs,0.200000,208896,262144,2570951.0,427.667,43,sparge_sage__topk0.80__seed43
sparge_sage,warp,0.8000,20,bs,0.200000,208896,262144,2572960.0,427.333,44,sparge_sage__topk0.80__seed44
sparge_sage,warp,0.8000,20,bs,0.200000,208896,262144,2574345.0,427.103,45,sparge_sage__topk0.80__seed45
sparge_sage,warp,0.8000,20,bs,0.200000,208896,262144,2580337.0,426.112,46,sparge_sage__topk0.80__seed46
sparge_sage,warp,0.9000,20,bs,0.110000,233472,262144,2893634.0,379.976,42,sparge_sage__topk0.90__seed42
sparge_sage,warp,0.9000,20,bs,0.110000,233472,262144,2890001.0,380.454,43,sparge_sage__topk0.90__seed43
sparge_sage,warp,0.9000,20,bs,0.110000,233472,262144,2887085.0,380.838,44,sparge_sage__topk0.90__seed44
sparge_sage,warp,0.9000,20,bs,0.110000,233472,262144,2894346.0,379.883,45,sparge_sage__topk0.90__seed45
sparge_sage,warp,0.9000,20,bs,0.110000,233472,262144,2882848.0,381.398,46,sparge_sage__topk0.90__seed46
