kernel,problem_idx,M,N,K,latency_ms,tflops,non_zero
gemm_fp16_rcr_compv3_cshuffle_intrawave_False_False_False_False_64x64x64_4x1x1_16x16x16,0,1024,1024,1024,0.010579699650406837,202.98153245942285,1048576
gemm_fp16_rcr_compv3_cshuffle_intrawave_False_False_False_True_64x64x64_4x1x1_16x16x16,0,1024,1024,1024,0.011032400652766228,194.65243473201338,1048576
gemm_fp16_rcr_compv3_default_intrawave_False_False_False_False_64x64x64_4x1x1_16x16x16,0,1024,1024,1024,0.010743899270892143,199.87935421342414,1048576
gemm_fp16_rcr_compv3_default_intrawave_False_False_False_True_64x64x64_4x1x1_16x16x16,0,1024,1024,1024,0.011400899849832058,188.36089048108198,1048576
gemm_fp16_rcr_compv4_cshuffle_intrawave_False_False_False_False_64x64x64_4x1x1_16x16x16,0,1024,1024,1024,0.010663799941539764,201.38071417063,1048576
gemm_fp16_rcr_compv4_cshuffle_intrawave_False_False_False_True_64x64x64_4x1x1_16x16x16,0,1024,1024,1024,0.011244700290262699,190.977402026411,1048576
gemm_fp16_rcr_compv4_default_intrawave_False_False_False_False_64x64x64_4x1x1_16x16x16,0,1024,1024,1024,0.010731900110840797,200.10283601416728,1048576
gemm_fp16_rcr_compv4_default_intrawave_False_False_False_True_64x64x64_4x1x1_16x16x16,0,1024,1024,1024,0.011336799710988998,189.4259140803554,1048576
gemm_fp16_rcr_mem_cshuffle_intrawave_False_False_False_False_64x64x64_4x1x1_16x16x16,0,1024,1024,1024,0.011404899880290031,188.2948268323938,1048576
gemm_fp16_rcr_mem_cshuffle_intrawave_False_False_False_True_64x64x64_4x1x1_16x16x16,0,1024,1024,1024,0.011805499903857708,181.90535474895577,1048576
gemm_fp16_rcr_mem_default_intrawave_False_False_False_False_64x64x64_4x1x1_16x16x16,0,1024,1024,1024,0.011384899728000164,188.6256092988199,1048576
gemm_fp16_rcr_mem_default_intrawave_False_False_False_True_64x64x64_4x1x1_16x16x16,0,1024,1024,1024,0.011729399673640728,183.08555490917425,1048576
gemm_fp16_rcr_mem_cshuffle_interwave_False_False_False_False_64x64x64_4x1x1_16x16x16,0,1024,1024,1024,0.011232700198888779,191.1814265471489,1048576
gemm_fp16_rcr_mem_cshuffle_interwave_False_False_False_True_64x64x64_4x1x1_16x16x16,0,1024,1024,1024,0.011601200327277184,185.10874628642995,1048576
gemm_fp16_rcr_mem_default_interwave_False_False_False_False_64x64x64_4x1x1_16x16x16,0,1024,1024,1024,0.011080400086939335,193.80921547510522,1048576
gemm_fp16_rcr_mem_default_interwave_False_False_False_True_64x64x64_4x1x1_16x16x16,0,1024,1024,1024,0.011513100005686283,186.5252318610422,1048576
gemm_fp16_rcr_compv3_cshuffle_intrawave_False_False_False_False_64x64x64_2x2x1_16x16x16,0,1024,1024,1024,0.010291299782693386,208.6698175493214,1048576
gemm_fp16_rcr_compv3_cshuffle_intrawave_False_False_False_True_64x64x64_2x2x1_16x16x16,0,1024,1024,1024,0.010651799850165844,201.6075854041291,1048576
gemm_fp16_rcr_compv3_default_intrawave_False_False_False_False_64x64x64_2x2x1_16x16x16,0,1024,1024,1024,0.010147100314497948,211.63520428902473,1048576
gemm_fp16_rcr_compv3_default_intrawave_False_False_False_True_64x64x64_2x2x1_16x16x16,0,1024,1024,1024,0.010611699894070625,202.36942897338474,1048576
gemm_fp16_rcr_compv4_cshuffle_intrawave_False_False_False_False_64x64x64_2x2x1_16x16x16,0,1024,1024,1024,0.010251199826598167,209.48607814941371,1048576
gemm_fp16_rcr_compv4_cshuffle_intrawave_False_False_False_True_64x64x64_2x2x1_16x16x16,0,1024,1024,1024,0.01067190058529377,201.2278535427235,1048576
gemm_fp16_rcr_compv4_default_intrawave_False_False_False_False_64x64x64_2x2x1_16x16x16,0,1024,1024,1024,0.010215199552476406,210.22434627617224,1048576
gemm_fp16_rcr_compv4_default_intrawave_False_False_False_True_64x64x64_2x2x1_16x16x16,0,1024,1024,1024,0.011220700107514858,191.38588746006698,1048576
gemm_fp16_rcr_mem_cshuffle_intrawave_False_False_False_False_64x64x64_2x2x1_16x16x16,0,1024,1024,1024,0.010130999609827995,211.9715458202905,1048576
gemm_fp16_rcr_mem_cshuffle_intrawave_False_False_False_True_64x64x64_2x2x1_16x16x16,0,1024,1024,1024,0.010723800398409367,200.2539741711838,1048576
gemm_fp16_rcr_mem_default_intrawave_False_False_False_False_64x64x64_2x2x1_16x16x16,0,1024,1024,1024,0.01063970010727644,201.83685877869303,1048576
gemm_fp16_rcr_mem_default_intrawave_False_False_False_True_64x64x64_2x2x1_16x16x16,0,1024,1024,1024,0.011192499659955502,191.8681003568186,1048576
gemm_fp16_rcr_mem_cshuffle_interwave_False_False_False_False_64x64x64_2x2x1_16x16x16,0,1024,1024,1024,0.01110840030014515,193.3206933469925,1048576
gemm_fp16_rcr_mem_cshuffle_interwave_False_False_False_True_64x64x64_2x2x1_16x16x16,0,1024,1024,1024,0.011477000080049038,187.11193108145594,1048576
gemm_fp16_rcr_mem_default_interwave_False_False_False_False_64x64x64_2x2x1_16x16x16,0,1024,1024,1024,0.011068399995565414,194.019338735535,1048576
