kernel,problem_idx,M,N,K,latency_ms,tflops,non_zero
gemm_fp16_rcr_compv3_cshuffle_intrawave_False_False_False_False_64x64x64_4x1x1_16x16x16,0,1024,1024,1024,0.010559599846601486,203.36790022314614,1048576
gemm_fp16_rcr_compv3_cshuffle_intrawave_False_False_False_True_64x64x64_4x1x1_16x16x16,0,1024,1024,1024,0.010936199687421322,196.3647070627293,1048576
gemm_fp16_rcr_compv3_default_intrawave_False_False_False_False_64x64x64_4x1x1_16x16x16,0,1024,1024,1024,0.010643700137734413,201.7610060609155,1048576
gemm_fp16_rcr_compv3_default_intrawave_False_False_False_True_64x64x64_4x1x1_16x16x16,0,1024,1024,1024,0.011196600273251534,191.79783109077297,1048576
gemm_fp16_rcr_compv4_cshuffle_intrawave_False_False_False_False_64x64x64_4x1x1_16x16x16,0,1024,1024,1024,0.010844100266695023,198.03244116023768,1048576
gemm_fp16_rcr_compv4_cshuffle_intrawave_False_False_False_True_64x64x64_4x1x1_16x16x16,0,1024,1024,1024,0.011432900093495846,187.83367565869827,1048576
gemm_fp16_rcr_compv4_default_intrawave_False_False_False_False_64x64x64_4x1x1_16x16x16,0,1024,1024,1024,0.010707899928092957,200.55133708953704,1048576
gemm_fp16_rcr_compv4_default_intrawave_False_False_False_True_64x64x64_4x1x1_16x16x16,0,1024,1024,1024,0.011196600273251534,191.79783109077297,1048576
gemm_fp16_rcr_mem_cshuffle_intrawave_False_False_False_False_64x64x64_4x1x1_16x16x16,0,1024,1024,1024,0.011176600120961666,192.1410468978311,1048576
gemm_fp16_rcr_mem_cshuffle_intrawave_False_False_False_True_64x64x64_4x1x1_16x16x16,0,1024,1024,1024,0.011645199730992317,184.4093444172303,1048576
gemm_fp16_rcr_mem_default_intrawave_False_False_False_False_64x64x64_4x1x1_16x16x16,0,1024,1024,1024,0.01088009960949421,197.37720472026376,1048576
gemm_fp16_rcr_mem_default_intrawave_False_False_False_True_64x64x64_4x1x1_16x16x16,0,1024,1024,1024,0.011505099944770336,186.65493201353218,1048576
gemm_fp16_rcr_mem_cshuffle_interwave_False_False_False_False_64x64x64_4x1x1_16x16x16,0,1024,1024,1024,0.011240599676966667,191.04707130531932,1048576
gemm_fp16_rcr_mem_cshuffle_interwave_False_False_False_True_64x64x64_4x1x1_16x16x16,0,1024,1024,1024,0.011597099713981152,185.17419880515914,1048576
gemm_fp16_rcr_mem_default_interwave_False_False_False_False_64x64x64_4x1x1_16x16x16,0,1024,1024,1024,0.011088400147855282,193.66938596776438,1048576
gemm_fp16_rcr_mem_default_interwave_False_False_False_True_64x64x64_4x1x1_16x16x16,0,1024,1024,1024,0.011473000049591064,187.17716715049988,1048576
gemm_fp16_rcr_compv3_cshuffle_intrawave_False_False_False_False_64x64x64_2x2x1_16x16x16,0,1024,1024,1024,0.010295200161635876,208.59076213033737,1048576
gemm_fp16_rcr_compv3_cshuffle_intrawave_False_False_False_True_64x64x64_2x2x1_16x16x16,0,1024,1024,1024,0.01065170019865036,201.60947153507948,1048576
gemm_fp16_rcr_compv3_default_intrawave_False_False_False_False_64x64x64_2x2x1_16x16x16,0,1024,1024,1024,0.01017099991440773,211.13790837398219,1048576
gemm_fp16_rcr_compv3_default_intrawave_False_False_False_True_64x64x64_2x2x1_16x16x16,0,1024,1024,1024,0.010643800720572472,201.75909943985675,1048576
gemm_fp16_rcr_compv4_cshuffle_intrawave_False_False_False_False_64x64x64_2x2x1_16x16x16,0,1024,1024,1024,0.010291299782693386,208.6698175493214,1048576
gemm_fp16_rcr_compv4_cshuffle_intrawave_False_False_False_True_64x64x64_2x2x1_16x16x16,0,1024,1024,1024,0.01077600009739399,199.2839298989368,1048576
gemm_fp16_rcr_compv4_default_intrawave_False_False_False_False_64x64x64_2x2x1_16x16x16,0,1024,1024,1024,0.010287200100719929,208.75297719247365,1048576
gemm_fp16_rcr_compv4_default_intrawave_False_False_False_True_64x64x64_2x2x1_16x16x16,0,1024,1024,1024,0.010643800720572472,201.75909943985675,1048576
gemm_fp16_rcr_mem_cshuffle_intrawave_False_False_False_False_64x64x64_2x2x1_16x16x16,0,1024,1024,1024,0.010227099992334843,209.97972539718276,1048576
gemm_fp16_rcr_mem_cshuffle_intrawave_False_False_False_True_64x64x64_2x2x1_16x16x16,0,1024,1024,1024,0.01090409979224205,196.94277280256293,1048576
gemm_fp16_rcr_mem_default_intrawave_False_False_False_False_64x64x64_2x2x1_16x16x16,0,1024,1024,1024,0.01062770001590252,202.06475952338334,1048576
gemm_fp16_rcr_mem_default_intrawave_False_False_False_True_64x64x64_2x2x1_16x16x16,0,1024,1024,1024,0.011156599968671799,192.485493253341,1048576
gemm_fp16_rcr_mem_cshuffle_interwave_False_False_False_False_64x64x64_2x2x1_16x16x16,0,1024,1024,1024,0.011104399338364601,193.39034760580486,1048576
gemm_fp16_rcr_mem_cshuffle_interwave_False_False_False_True_64x64x64_2x2x1_16x16x16,0,1024,1024,1024,0.011452999897301197,187.5040310186361,1048576
gemm_fp16_rcr_mem_default_interwave_False_False_False_False_64x64x64_2x2x1_16x16x16,0,1024,1024,1024,0.011080400086939335,193.80921547510522,1048576
gemm_fp16_rcr_mem_default_interwave_False_False_False_True_64x64x64_2x2x1_16x16x16,0,1024,1024,1024,0.011368799954652786,188.89272892176473,1048576
gemm_fp16_rcr_compv3_cshuffle_intrawave_False_False_False_False_64x64x64_4x1x1_16x16x16,1,2048,2048,2048,0.06448329985141754,266.4235425852254,4194302
gemm_fp16_rcr_compv3_cshuffle_intrawave_False_False_False_True_64x64x64_4x1x1_16x16x16,1,2048,2048,2048,0.0649482011795044,264.5164742364169,4194302
gemm_fp16_rcr_compv3_default_intrawave_False_False_False_False_64x64x64_4x1x1_16x16x16,1,2048,2048,2048,0.06471189856529236,265.48238523192185,4194302
gemm_fp16_rcr_compv3_default_intrawave_False_False_False_True_64x64x64_4x1x1_16x16x16,1,2048,2048,2048,0.06545700132846832,262.46037605343514,4194302
gemm_fp16_rcr_compv4_cshuffle_intrawave_False_False_False_False_64x64x64_4x1x1_16x16x16,1,2048,2048,2048,0.065761499106884,261.2450965583537,4194302
gemm_fp16_rcr_compv4_cshuffle_intrawave_False_False_False_True_64x64x64_4x1x1_16x16x16,1,2048,2048,2048,0.06877800077199936,249.78727196435466,4194302
gemm_fp16_rcr_compv4_default_intrawave_False_False_False_False_64x64x64_4x1x1_16x16x16,1,2048,2048,2048,0.06513659656047821,263.7514099780879,4194302
