m,n,k,a_type,b_type,c_type,d_type,origami_gflops,other_gflops,perf_pct
49152,1280,256,bf16_r,bf16_r,bf16_r,bf16_r,501289.000,523097.000,95.8
59744,1792,256,bf16_r,bf16_r,bf16_r,bf16_r,278862.000,408660.000,68.2
59744,1792,1024,bf16_r,bf16_r,bf16_r,bf16_r,906007.000,964411.000,93.9
59744,1792,2048,bf16_r,bf16_r,bf16_r,bf16_r,1082640.000,1151470.000,94.0
59744,2048,1792,bf16_r,bf16_r,bf16_r,bf16_r,1044180.000,1093790.000,95.5
64704,1024,1792,bf16_r,bf16_r,bf16_r,bf16_r,1070980.000,1103720.000,97.0
64704,1792,1024,bf16_r,bf16_r,bf16_r,bf16_r,1042010.000,1077980.000,96.7
64704,1792,3200,bf16_r,bf16_r,bf16_r,bf16_r,1277120.000,1358010.000,94.0
64704,3200,1792,bf16_r,bf16_r,bf16_r,bf16_r,1143960.000,1290840.000,88.6
65536,1280,256,bf16_r,bf16_r,bf16_r,bf16_r,521177.000,589272.000,88.4
68032,1280,256,bf16_r,bf16_r,bf16_r,bf16_r,290198.000,402143.000,72.2
68032,1280,1024,bf16_r,bf16_r,bf16_r,bf16_r,779237.000,793614.000,98.2
68032,1280,2048,bf16_r,bf16_r,bf16_r,bf16_r,971937.000,1022960.000,95.0
68032,2048,1280,bf16_r,bf16_r,bf16_r,bf16_r,1007690.000,1059510.000,95.1
98304,1280,9600,bf16_r,bf16_r,bf16_r,bf16_r,1250480.000,1476230.000,84.7
130880,1280,256,bf16_r,bf16_r,bf16_r,bf16_r,437112.000,475387.000,91.9
130880,1280,1024,bf16_r,bf16_r,bf16_r,bf16_r,1026070.000,1079900.000,95.0
130880,1280,2048,bf16_r,bf16_r,bf16_r,bf16_r,1196340.000,1256260.000,95.2
130880,2048,1280,bf16_r,bf16_r,bf16_r,bf16_r,1196460.000,1238630.000,96.6
