shape_signature,dtype,head_size,block_size,num_seqs,total_q,max_seqlen_q,max_seqlen_k,sliding_window,triton_latency_ms,ckdsl_latency_ms,speedup_triton_over_ckdsl,ckdsl_correct_max_abs,ckdsl_policy,cap_blocks
d64_b32_h64kv8_q1000_k1000_ns1_tq1000_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,1,1000,1000,1000,128,0.029661118984222412,0.021172239780426025,1.4009,0.003906,production_dispatch,65536
d64_b32_h64kv8_q1000_k1000_ns1_tq1000_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,1,1000,1000,1000,0,0.0354748010635376,0.040644478797912595,0.8728,0.003906,production_dispatch,65536
d64_b32_h64kv8_q1000_k1002_ns10_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,10,8192,1000,1002,128,0.10782843589782715,0.101520357131958,1.0621,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1002_ns10_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,10,8192,1000,1002,0,0.2180672836303711,0.23201623916625977,0.9399,0.000977,production_dispatch,65536
d64_b32_h64kv8_q1000_k1003_ns18_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,18,8192,1000,1003,128,0.1000947380065918,0.10613801956176758,0.9431,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1003_ns18_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,18,8192,1000,1003,0,0.25430450439453123,0.26857345581054687,0.9469,0.000977,production_dispatch,65536
d64_b32_h64kv8_q1000_k1004_ns26_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,26,8192,1000,1004,128,0.09922993659973145,0.10410597801208496,0.9532,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1004_ns26_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,26,8192,1000,1004,0,0.26534381866455076,0.28880010604858397,0.9188,0.000977,production_dispatch,65536
d64_b32_h64kv8_q1000_k1005_ns34_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,34,8192,1000,1005,128,0.10822524070739746,0.10824604034423828,0.9998,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1005_ns34_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,34,8192,1000,1005,0,0.2844192314147949,0.3007162475585938,0.9458,0.000977,production_dispatch,65536
d64_b32_h64kv8_q1000_k1006_ns42_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,42,8192,1000,1006,128,0.10385157585144043,0.10759242057800293,0.9652,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1006_ns42_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,42,8192,1000,1006,0,0.293236141204834,0.30865234375,0.9501,0.001953,production_dispatch,65536
d64_b32_h64kv8_q1000_k1007_ns51_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,51,8192,1000,1007,128,0.09886832237243652,0.10347160339355468,0.9555,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1007_ns51_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,51,8192,1000,1007,0,0.29223615646362305,0.3104235649108887,0.9414,0.001953,production_dispatch,65536
d64_b32_h64kv8_q1000_k1008_ns59_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,59,8192,1000,1008,128,0.10215078353881836,0.10655482292175293,0.9587,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1008_ns59_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,59,8192,1000,1008,0,0.2993666458129883,0.31584842681884767,0.9478,0.000977,production_dispatch,65536
d64_b32_h64kv8_q1000_k1009_ns64_tq5890_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,64,5890,1000,1009,128,0.07986492156982422,0.07990171909332275,0.9995,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1009_ns64_tq5890_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,64,5890,1000,1009,0,0.23650510787963866,0.23720752716064453,0.997,0.000977,production_dispatch,65536
d64_b32_h64kv8_q1000_k1000_ns2_tq2000_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,2,2000,1000,1000,128,0.029705939292907716,0.025980300903320312,1.1434,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1000_ns2_tq2000_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,2,2000,1000,1000,0,0.06179910182952881,0.06887038230895996,0.8973,0.001953,production_dispatch,65536
d64_b32_h64kv8_q1000_k1001_ns11_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,11,8192,1000,1001,128,0.0991123390197754,0.10524359703063965,0.9417,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1001_ns11_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,11,8192,1000,1001,0,0.21830970764160157,0.24134836196899415,0.9045,0.000977,production_dispatch,65536
d64_b32_h64kv8_q1000_k1009_ns76_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,76,8192,1000,1009,128,0.1042747974395752,0.10989246368408204,0.9489,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1009_ns76_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,76,8192,1000,1009,0,0.3192868614196777,0.32285251617431643,0.989,0.003906,production_dispatch,65536
d64_b32_h64kv8_q1000_k1010_ns84_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,84,8192,1000,1010,128,0.10649962425231933,0.10962446212768555,0.9715,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1010_ns84_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,84,8192,1000,1010,0,0.3391887283325195,0.3448655700683594,0.9835,0.001953,production_dispatch,65536
d64_b32_h64kv8_q1000_k1011_ns92_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,92,8192,1000,1011,128,0.10597962379455567,0.11490692138671875,0.9223,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1011_ns92_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,92,8192,1000,1011,0,0.3366166305541992,0.33236942291259763,1.0128,0.000977,production_dispatch,65536
d64_b32_h64kv8_q1000_k1012_ns100_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,100,8192,1000,1012,128,0.111396484375,0.11152768135070801,0.9988,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1012_ns100_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,100,8192,1000,1012,0,0.3599697494506836,0.3532392883300781,1.0191,0.001953,production_dispatch,65536
d64_b32_h64kv8_q1000_k1013_ns108_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,108,8192,1000,1013,128,0.10436360359191894,0.11104928016662598,0.9398,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1013_ns108_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,108,8192,1000,1013,0,0.3441991424560547,0.32645496368408206,1.0544,0.001953,production_dispatch,65536
d64_b32_h64kv8_q1000_k1014_ns116_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,116,8192,1000,1014,128,0.10738364219665528,0.10708844184875488,1.0028,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1014_ns116_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,116,8192,1000,1014,0,0.37310192108154294,0.35117038726806643,1.0625,0.003906,production_dispatch,65536
d64_b32_h64kv8_q1000_k1015_ns125_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,125,8192,1000,1015,128,0.11414772033691406,0.11441729545593261,0.9976,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1015_ns125_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,125,8192,1000,1015,0,0.3991565704345703,0.3704850387573242,1.0774,0.001953,production_dispatch,65536
d64_b32_h64kv8_q1000_k1016_ns133_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,133,8192,1000,1016,128,0.10474040031433106,0.1126540756225586,0.9298,0.003906,production_dispatch,65536
d64_b32_h64kv8_q1000_k1016_ns133_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,133,8192,1000,1016,0,0.3619633483886719,0.33410865783691407,1.0834,0.003906,production_dispatch,65536
d64_b32_h64kv8_q1000_k1017_ns141_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,141,8192,1000,1017,128,0.10444279670715333,0.1099212646484375,0.9502,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1017_ns141_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,141,8192,1000,1017,0,0.3853980255126953,0.3494879913330078,1.1028,0.000977,production_dispatch,65536
d64_b32_h64kv8_q1000_k1018_ns149_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,149,8192,1000,1018,128,0.10957566261291504,0.10882523536682129,1.0069,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1018_ns149_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,149,8192,1000,1018,0,0.40410385131835935,0.3614401626586914,1.118,0.003906,production_dispatch,65536
d64_b32_h64kv8_q1000_k1019_ns157_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,157,8192,1000,1019,128,0.11357009887695313,0.11021568298339844,1.0304,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1019_ns157_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,157,8192,1000,1019,0,0.42064002990722654,0.37459392547607423,1.1229,0.001953,production_dispatch,65536
d64_b32_h64kv8_q1000_k1020_ns165_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,165,8192,1000,1020,128,0.11899738311767578,0.11525733947753906,1.0324,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1020_ns165_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,165,8192,1000,1020,0,0.4445147323608398,0.3883436965942383,1.1446,0.001953,production_dispatch,65536
d64_b32_h64kv8_q1000_k1021_ns173_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,173,8192,1000,1021,128,0.11660694122314454,0.11236289978027343,1.0378,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1021_ns173_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,173,8192,1000,1021,0,0.4348746109008789,0.360308952331543,1.2069,0.000977,production_dispatch,65536
d64_b32_h64kv8_q1000_k1022_ns181_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,181,8192,1000,1022,128,0.1115436840057373,0.11201807975769043,0.9958,0.007812,production_dispatch,65536
