shape_signature,dtype,head_size,block_size,num_seqs,total_q,max_seqlen_q,max_seqlen_k,sliding_window,triton_latency_ms,ckdsl_latency_ms,speedup_triton_over_ckdsl,ckdsl_correct_max_abs,ckdsl_policy,cap_blocks
d64_b32_h64kv8_q1000_k1022_ns181_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,181,8192,1000,1022,0,0.39914615631103517,0.3526592636108398,1.1318,0.000977,production_dispatch,65536
d64_b32_h64kv8_q1000_k1023_ns189_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,189,8192,1000,1023,128,0.11031326293945312,0.1156517219543457,0.9538,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1023_ns189_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,189,8192,1000,1023,0,0.40042781829833984,0.3574688720703125,1.1202,0.000977,production_dispatch,65536
d64_b32_h64kv8_q1000_k1024_ns197_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,197,8192,1000,1024,128,0.11156609535217285,0.11802696228027344,0.9453,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1024_ns197_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,197,8192,1000,1024,0,0.41210872650146485,0.36732025146484376,1.1219,0.001953,production_dispatch,65536
d64_b32_h64kv8_q1000_k1025_ns205_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,205,8192,1000,1025,128,0.12344861984252929,0.12733588218688965,0.9695,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1025_ns205_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,205,8192,1000,1025,0,0.42465446472167967,0.37983394622802735,1.118,0.001953,production_dispatch,65536
d64_b32_h64kv8_q1000_k1026_ns213_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,213,8192,1000,1026,128,0.12828705787658692,0.11585251808166504,1.1073,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1026_ns213_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,213,8192,1000,1026,0,0.4443667221069336,0.39234046936035155,1.1326,0.000977,production_dispatch,65536
d64_b32_h64kv8_q1000_k1027_ns221_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,221,8192,1000,1027,128,0.1306095027923584,0.11792373657226562,1.1076,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1027_ns221_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,221,8192,1000,1027,0,0.46072608947753907,0.4033214569091797,1.1423,0.000977,production_dispatch,65536
d64_b32_h64kv8_q1000_k1028_ns229_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,229,8192,1000,1028,128,0.1251686382293701,0.11293330192565917,1.1083,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1028_ns229_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,229,8192,1000,1028,0,0.47408145904541016,0.41310794830322267,1.1476,0.001953,production_dispatch,65536
d64_b32_h64kv8_q1000_k1029_ns237_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,237,8192,1000,1029,128,0.13367433547973634,0.12158060073852539,1.0995,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1029_ns237_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,237,8192,1000,1029,0,0.4927608871459961,0.4286489486694336,1.1496,0.000977,production_dispatch,65536
d64_b32_h64kv8_q1000_k1030_ns245_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,245,8192,1000,1030,128,0.13408636093139648,0.12143980026245117,1.1041,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1030_ns245_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,245,8192,1000,1030,0,0.5086402511596679,0.4373882293701172,1.1629,0.000977,production_dispatch,65536
d64_b32_h64kv8_q1000_k1031_ns253_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,253,8192,1000,1031,128,0.11675496101379394,0.11085165977478027,1.0533,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1031_ns253_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,253,8192,1000,1031,0,0.42508808135986326,0.3768235015869141,1.1281,0.001953,production_dispatch,65536
d64_b32_h64kv8_q1000_k1032_ns261_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,261,8192,1000,1032,128,0.11528451919555664,0.11693014144897461,0.9859,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1032_ns261_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,261,8192,1000,1032,0,0.3960629653930664,0.3582977294921875,1.1054,0.001953,production_dispatch,65536
d64_b32_h64kv8_q1000_k1033_ns269_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,269,8192,1000,1033,128,0.12014298439025879,0.11526211738586425,1.0423,0.003906,production_dispatch,65536
d64_b32_h64kv8_q1000_k1033_ns269_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,269,8192,1000,1033,0,0.4051862335205078,0.363359375,1.1151,0.000977,production_dispatch,65536
d64_b32_h64kv8_q1000_k1034_ns276_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,276,8192,1000,1034,128,0.12405021667480469,0.12050140380859375,1.0295,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1034_ns276_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,276,8192,1000,1034,0,0.40954952239990233,0.3672186279296875,1.1153,0.000977,production_dispatch,65536
d64_b32_h64kv8_q1000_k1035_ns284_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,284,8192,1000,1035,128,0.12178219795227051,0.12244141578674317,0.9946,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1035_ns284_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,284,8192,1000,1035,0,0.4202272415161133,0.3756467056274414,1.1187,0.000977,production_dispatch,65536
d64_b32_h64kv8_q1000_k1036_ns292_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,292,8192,1000,1036,128,0.11499651908874511,0.11874538421630859,0.9684,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1036_ns292_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,292,8192,1000,1036,0,0.43498184204101564,0.3796051788330078,1.1459,0.001953,production_dispatch,65536
d64_b32_h64kv8_q1000_k1037_ns300_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,300,8192,1000,1037,128,0.13982879638671875,0.12522944450378418,1.1166,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1037_ns300_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,300,8192,1000,1037,0,0.507254638671875,0.400059814453125,1.2679,0.001953,production_dispatch,65536
d64_b32_h64kv8_q1000_k1038_ns308_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,308,8192,1000,1038,128,0.1375087833404541,0.12732305526733398,1.08,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1038_ns308_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,308,8192,1000,1038,0,0.4953328704833984,0.41058712005615233,1.2064,0.001953,production_dispatch,65536
d64_b32_h64kv8_q1000_k1039_ns316_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,316,8192,1000,1039,128,0.133025541305542,0.12831427574157714,1.0367,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1039_ns316_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,316,8192,1000,1039,0,0.461958122253418,0.4110719299316406,1.1238,0.001953,production_dispatch,65536
d64_b32_h64kv8_q1000_k1040_ns324_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,324,8192,1000,1040,128,0.13663838386535646,0.12720385551452637,1.0742,0.003906,production_dispatch,65536
d64_b32_h64kv8_q1000_k1040_ns324_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,324,8192,1000,1040,0,0.48359840393066406,0.41934005737304686,1.1532,0.003906,production_dispatch,65536
d64_b32_h64kv8_q1000_k1041_ns332_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,332,8192,1000,1041,128,0.1352751636505127,0.13189592361450195,1.0256,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1041_ns332_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,332,8192,1000,1041,0,0.4888496398925781,0.4215616989135742,1.1596,0.001953,production_dispatch,65536
d64_b32_h64kv8_q1000_k1042_ns340_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,340,8192,1000,1042,128,0.1382528018951416,0.14162402153015136,0.9762,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1042_ns340_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,340,8192,1000,1042,0,0.49247447967529295,0.4285753631591797,1.1491,0.001953,production_dispatch,65536
d64_b32_h64kv8_q1000_k1043_ns347_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,347,8192,1000,1043,128,0.14054083824157715,0.1307423210144043,1.0749,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1043_ns347_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,347,8192,1000,1043,0,0.5017121505737304,0.4368642425537109,1.1484,0.000977,production_dispatch,65536
d64_b32_h64kv8_q1000_k1044_ns355_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,355,8192,1000,1044,128,0.1431264591217041,0.12091498374938965,1.1837,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1044_ns355_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,355,8192,1000,1044,0,0.5139715194702148,0.44743473052978516,1.1487,0.001953,production_dispatch,65536
d64_b32_h64kv8_q1000_k1045_ns363_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,363,8192,1000,1045,128,0.13792240142822265,0.11882535934448242,1.1607,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1045_ns363_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,363,8192,1000,1045,0,0.5305980682373047,0.45587169647216796,1.1639,0.000977,production_dispatch,65536
d64_b32_h64kv8_q1000_k1046_ns371_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,371,8192,1000,1046,128,0.13259034156799315,0.1167133617401123,1.136,0.003906,production_dispatch,65536
d64_b32_h64kv8_q1000_k1046_ns371_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,371,8192,1000,1046,0,0.5323053741455078,0.4621165466308594,1.1519,0.001953,production_dispatch,65536
d64_b32_h64kv8_q1000_k1047_ns379_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,379,8192,1000,1047,128,0.13333353996276856,0.11830776214599609,1.127,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1047_ns379_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,379,8192,1000,1047,0,0.5409278488159179,0.4639525604248047,1.1659,0.001953,production_dispatch,65536
d64_b32_h64kv8_q1000_k1048_ns387_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,387,8192,1000,1048,128,0.13670557975769043,0.12080619812011718,1.1316,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1048_ns387_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,387,8192,1000,1048,0,0.5544760131835937,0.4755470657348633,1.166,0.001953,production_dispatch,65536
d64_b32_h64kv8_q1000_k1049_ns394_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,394,8192,1000,1049,128,0.14216803550720214,0.1170069408416748,1.215,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1049_ns394_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,394,8192,1000,1049,0,0.5669785690307617,0.4780735015869141,1.186,0.001953,production_dispatch,65536
d64_b32_h64kv8_q1000_k1050_ns402_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,402,8192,1000,1050,128,0.1449296760559082,0.12105660438537598,1.1972,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1050_ns402_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,402,8192,1000,1050,0,0.5721746063232422,0.4901560211181641,1.1673,0.001953,production_dispatch,65536
d64_b32_h64kv8_q1000_k1051_ns410_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,410,8192,1000,1051,128,0.14414166450500487,0.12096940040588379,1.1916,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1051_ns410_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,410,8192,1000,1051,0,0.5777058410644531,0.4854191970825195,1.1901,0.000977,production_dispatch,65536
d64_b32_h64kv8_q1000_k1052_ns418_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,418,8192,1000,1052,128,0.1451680564880371,0.12353342056274413,1.1751,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1052_ns418_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,418,8192,1000,1052,0,0.5942244720458985,0.49690975189208986,1.1958,0.000977,production_dispatch,65536
d64_b32_h64kv8_q1000_k1053_ns425_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,425,8192,1000,1053,128,0.14791372299194336,0.12505104064941405,1.1828,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1053_ns425_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,425,8192,1000,1053,0,0.5975124740600586,0.505838623046875,1.1812,0.001953,production_dispatch,65536
d64_b32_h64kv8_q1000_k1054_ns433_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,433,8192,1000,1054,128,0.1515865421295166,0.12527024269104003,1.2101,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1054_ns433_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,433,8192,1000,1054,0,0.6101342391967773,0.512470703125,1.1906,0.000977,production_dispatch,65536
d64_b32_h64kv8_q1000_k1055_ns441_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,441,8192,1000,1055,128,0.15539779663085937,0.12737666130065917,1.22,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1055_ns441_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,441,8192,1000,1055,0,0.623985595703125,0.5254548645019531,1.1875,0.000977,production_dispatch,65536
d64_b32_h64kv8_q1000_k1056_ns449_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,449,8192,1000,1056,128,0.15596019744873046,0.1277046585083008,1.2213,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1056_ns449_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,449,8192,1000,1056,0,0.628895263671875,0.5315349197387695,1.1832,0.003906,production_dispatch,65536
d64_b32_h64kv8_q1000_k1057_ns457_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,457,8192,1000,1057,128,0.15647221565246583,0.13553835868835448,1.1544,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1057_ns457_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,457,8192,1000,1057,0,0.6400881958007812,0.539695053100586,1.186,0.001953,production_dispatch,65536
d64_b32_h64kv8_q1000_k1058_ns464_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,464,8192,1000,1058,128,0.160773868560791,0.14061521530151366,1.1434,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1058_ns464_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,464,8192,1000,1058,0,0.6475058746337891,0.5457926940917969,1.1864,0.000977,production_dispatch,65536
d64_b32_h64kv8_q1000_k1059_ns472_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,472,8192,1000,1059,128,0.16284988403320313,0.14802169799804688,1.1002,0.003906,production_dispatch,65536
