kernel,problem_idx,N,C,K,G,Hi,Wi,Y,X,stride_h,stride_w,pad_h,pad_w,latency_ms,tflops,non_zero
grouped_conv_forward_bf16_2d_16x64x64_compv3,0,1,128,256,1,32,32,2,2,2,2,0,0,0.007943999953567982,8.447742244743923,65536
grouped_conv_forward_bf16_2d_16x64x64_compv4,0,1,128,256,1,32,32,2,2,2,2,0,0,0.006808000151067972,9.857353482795181,65536
grouped_conv_forward_bf16_2d_32x64x64_compv3,0,1,128,256,1,32,32,2,2,2,2,0,0,0.009596100077033043,6.993347658036197,65536
grouped_conv_forward_bf16_2d_32x64x64_compv4,0,1,128,256,1,32,32,2,2,2,2,0,0,0.008408100344240665,7.981453747274539,65536
grouped_conv_forward_bf16_2d_64x64x64_compv3,0,1,128,256,1,32,32,2,2,2,2,0,0,0.012048100121319294,5.570078545516886,65536
grouped_conv_forward_bf16_2d_64x64x64_compv4,0,1,128,256,1,32,32,2,2,2,2,0,0,0.01207209937274456,5.559005267262224,65536
grouped_conv_forward_bf16_2d_32x128x64_compv3,0,1,128,256,1,32,32,2,2,2,2,0,0,0.01122410036623478,5.978997140998682,65536
grouped_conv_forward_bf16_2d_32x128x64_compv4,0,1,128,256,1,32,32,2,2,2,2,0,0,0.008404100313782692,7.985252614124765,65536
grouped_conv_forward_bf16_2d_64x128x64_compv3,0,1,128,256,1,32,32,2,2,2,2,0,0,0.013476100750267506,4.979842852441413,65536
grouped_conv_forward_bf16_2d_64x128x64_compv4,0,1,128,256,1,32,32,2,2,2,2,0,0,0.011956100352108479,5.612939171103999,65536
grouped_conv_forward_bf16_2d_128x128x64_compv3,0,1,128,256,1,32,32,2,2,2,2,0,0,0.014024099335074425,4.785253041680901,65536
grouped_conv_forward_bf16_2d_128x128x64_compv4,0,1,128,256,1,32,32,2,2,2,2,0,0,0.012008000165224075,5.588679470071253,65536
grouped_conv_forward_bf16_2d_16x64x128_compv3,0,1,128,256,1,32,32,2,2,2,2,0,0,0.006752099841833115,9.938962037294274,65536
grouped_conv_forward_bf16_2d_16x64x128_compv4,0,1,128,256,1,32,32,2,2,2,2,0,0,0.006940100342035294,9.66972531989635,65536
grouped_conv_forward_bf16_2d_32x64x128_compv3,0,1,128,256,1,32,32,2,2,2,2,0,0,0.007900100201368332,8.494685167205406,65536
grouped_conv_forward_bf16_2d_32x64x128_compv4,0,1,128,256,1,32,32,2,2,2,2,0,0,0.008352099917829037,8.034969009020623,65536
grouped_conv_forward_bf16_2d_64x64x128_compv3,0,1,128,256,1,32,32,2,2,2,2,0,0,0.010300099849700928,6.515360528465999,65536
grouped_conv_forward_bf16_2d_64x64x128_compv4,0,1,128,256,1,32,32,2,2,2,2,0,0,0.012048100121319294,5.570078545516886,65536
grouped_conv_forward_bf16_2d_128x64x128_compv3,0,1,128,256,1,32,32,2,2,2,2,0,0,0.01078409980982542,6.222945371745999,65536
