kernel,problem_idx,N,C,K,G,Hi,Wi,Y,X,stride_h,stride_w,pad_h,pad_w,latency_ms,tflops,non_zero
grouped_conv_forward_bf16_2d_128x64x128_compv4,0,1,128,256,1,32,32,2,2,2,2,0,0,0.011980099603533745,5.601694995941857,65536
grouped_conv_forward_bf16_2d_16x64x64_compv3,1,8,1920,960,1,8,8,1,1,1,1,0,0,0.024936098605394363,75.69094227080477,491520
grouped_conv_forward_bf16_2d_16x64x64_compv4,1,8,1920,960,1,8,8,1,1,1,1,0,0,0.021420100703835487,88.11521598785178,491520
grouped_conv_forward_bf16_2d_32x64x64_compv3,1,8,1920,960,1,8,8,1,1,1,1,0,0,0.028568100184202194,66.06798449424821,491520
grouped_conv_forward_bf16_2d_32x64x64_compv4,1,8,1920,960,1,8,8,1,1,1,1,0,0,0.021936099976301193,86.04249625225562,491520
grouped_conv_forward_bf16_2d_64x64x64_compv3,1,8,1920,960,1,8,8,1,1,1,1,0,0,0.03360419720411301,56.16669812213178,491520
grouped_conv_forward_bf16_2d_64x64x64_compv4,1,8,1920,960,1,8,8,1,1,1,1,0,0,0.031564198434352875,59.79676005159724,491520
grouped_conv_forward_bf16_2d_32x128x64_compv3,1,8,1920,960,1,8,8,1,1,1,1,0,0,0.03343220055103302,56.455655592245485,491520
grouped_conv_forward_bf16_2d_32x128x64_compv4,1,8,1920,960,1,8,8,1,1,1,1,0,0,0.02202020026743412,85.71387985019136,491520
grouped_conv_forward_bf16_2d_64x128x64_compv3,1,8,1920,960,1,8,8,1,1,1,1,0,0,0.03829219937324524,49.29037325860035,491520
grouped_conv_forward_bf16_2d_64x128x64_compv4,1,8,1920,960,1,8,8,1,1,1,1,0,0,0.030732300132513046,61.41540958085327,491520
grouped_conv_forward_bf16_2d_128x128x64_compv3,1,8,1920,960,1,8,8,1,1,1,1,0,0,0.038296300917863846,49.285094245736374,491520
grouped_conv_forward_bf16_2d_128x128x64_compv4,1,8,1920,960,1,8,8,1,1,1,1,0,0,0.030800199136137962,61.28001938096124,491520
grouped_conv_forward_bf16_2d_16x64x128_compv3,1,8,1920,960,1,8,8,1,1,1,1,0,0,0.02135610021650791,88.37928183821889,491520
grouped_conv_forward_bf16_2d_16x64x128_compv4,1,8,1920,960,1,8,8,1,1,1,1,0,0,0.021348100155591965,88.412401396084,491520
grouped_conv_forward_bf16_2d_32x64x128_compv3,1,8,1920,960,1,8,8,1,1,1,1,0,0,0.021380100399255753,88.28007187775891,491520
grouped_conv_forward_bf16_2d_32x64x128_compv4,1,8,1920,960,1,8,8,1,1,1,1,0,0,0.022696200758218765,83.1609140272748,491520
grouped_conv_forward_bf16_2d_64x64x128_compv3,1,8,1920,960,1,8,8,1,1,1,1,0,0,0.026872199028730392,70.23752682026687,491520
grouped_conv_forward_bf16_2d_64x64x128_compv4,1,8,1920,960,1,8,8,1,1,1,1,0,0,0.030760299414396286,61.359506764639974,491520
grouped_conv_forward_bf16_2d_128x64x128_compv3,1,8,1920,960,1,8,8,1,1,1,1,0,0,0.0260601993650198,72.42603072843247,491520
grouped_conv_forward_bf16_2d_128x64x128_compv4,1,8,1920,960,1,8,8,1,1,1,1,0,0,0.03126030042767525,60.37807615978706,491520
grouped_conv_forward_bf16_2d_16x64x64_compv3,2,2,256,128,1,263,183,1,1,2,2,0,0,0.018008099868893623,88.39013441665196,3108864
grouped_conv_forward_bf16_2d_16x64x64_compv4,2,2,256,128,1,263,183,1,1,2,2,0,0,0.018688101321458817,85.1738943737569,3108864
grouped_conv_forward_bf16_2d_32x64x64_compv3,2,2,256,128,1,263,183,1,1,2,2,0,0,0.01525609940290451,104.33455668864869,3108864
grouped_conv_forward_bf16_2d_32x64x64_compv4,2,2,256,128,1,263,183,1,1,2,2,0,0,0.01616010069847107,98.49804761121301,3108864
grouped_conv_forward_bf16_2d_64x64x64_compv3,2,2,256,128,1,263,183,1,1,2,2,0,0,0.013408100232481956,118.71468294545672,3108864
grouped_conv_forward_bf16_2d_64x64x64_compv4,2,2,256,128,1,263,183,1,1,2,2,0,0,0.01964009925723076,81.04533216215701,3108864
grouped_conv_forward_bf16_2d_32x128x64_compv3,2,2,256,128,1,263,183,1,1,2,2,0,0,0.011220099404454231,141.86490784280403,3108864
grouped_conv_forward_bf16_2d_32x128x64_compv4,2,2,256,128,1,263,183,1,1,2,2,0,0,0.01607609912753105,99.01272412995237,3108864
grouped_conv_forward_bf16_2d_64x128x64_compv3,2,2,256,128,1,263,183,1,1,2,2,0,0,0.01208409946411848,131.72172016014727,3108864
grouped_conv_forward_bf16_2d_64x128x64_compv4,2,2,256,128,1,263,183,1,1,2,2,0,0,0.019588099792599678,81.2604788036333,3108864
grouped_conv_forward_bf16_2d_128x128x64_compv3,2,2,256,128,1,263,183,1,1,2,2,0,0,0.010908099822700024,145.92260740844645,3108864
grouped_conv_forward_bf16_2d_128x128x64_compv4,2,2,256,128,1,263,183,1,1,2,2,0,0,0.0193961001932621,82.06486624321238,3108864
grouped_conv_forward_bf16_2d_16x64x128_compv3,2,2,256,128,1,263,183,1,1,2,2,0,0,0.014828098937869072,107.34608493438787,3108864
grouped_conv_forward_bf16_2d_16x64x128_compv4,2,2,256,128,1,263,183,1,1,2,2,0,0,0.018352100625634193,86.73330647373749,3108864
grouped_conv_forward_bf16_2d_32x64x128_compv3,2,2,256,128,1,263,183,1,1,2,2,0,0,0.012488099746406078,127.46041434030688,3108864
grouped_conv_forward_bf16_2d_32x64x128_compv4,2,2,256,128,1,263,183,1,1,2,2,0,0,0.01703209988772869,93.45520390863946,3108864
grouped_conv_forward_bf16_2d_64x64x128_compv3,2,2,256,128,1,263,183,1,1,2,2,0,0,0.012612099759280682,126.20724529463943,3108864
grouped_conv_forward_bf16_2d_64x64x128_compv4,2,2,256,128,1,263,183,1,1,2,2,0,0,0.019172100350260735,83.023682273724,3108864
grouped_conv_forward_bf16_2d_128x64x128_compv3,2,2,256,128,1,263,183,1,1,2,2,0,0,0.014148099347949028,112.50545595233932,3108864
grouped_conv_forward_bf16_2d_128x64x128_compv4,2,2,256,128,1,263,183,1,1,2,2,0,0,0.019384099170565605,82.11567398587319,3108864
grouped_conv_forward_bf16_2d_16x64x64_compv3,3,2,64,256,1,192,288,1,1,1,1,0,0,0.05360429733991623,67.60425629721841,28311552
grouped_conv_forward_bf16_2d_16x64x64_compv4,3,2,64,256,1,192,288,1,1,1,1,0,0,0.11108479648828506,32.62263397477775,28311552
grouped_conv_forward_bf16_2d_32x64x64_compv3,3,2,64,256,1,192,288,1,1,1,1,0,0,0.04483630135655403,80.82465650281104,28311552
grouped_conv_forward_bf16_2d_32x64x64_compv4,3,2,64,256,1,192,288,1,1,1,1,0,0,0.10275290161371231,35.26789607969957,28311552
grouped_conv_forward_bf16_2d_64x64x64_compv3,3,2,64,256,1,192,288,1,1,1,1,0,0,0.0378962978720665,95.62619198935457,28311552
grouped_conv_forward_bf16_2d_64x64x64_compv4,3,2,64,256,1,192,288,1,1,1,1,0,0,0.1308531016111374,27.694251121148497,28311552
grouped_conv_forward_bf16_2d_32x128x64_compv3,3,2,64,256,1,192,288,1,1,1,1,0,0,0.032756201922893524,110.63183285200252,28311552
grouped_conv_forward_bf16_2d_32x128x64_compv4,3,2,64,256,1,192,288,1,1,1,1,0,0,0.10274489969015121,35.27064279520021,28311552
grouped_conv_forward_bf16_2d_64x128x64_compv3,3,2,64,256,1,192,288,1,1,1,1,0,0,0.03202419728040695,113.16063988330355,28311552
grouped_conv_forward_bf16_2d_64x128x64_compv4,3,2,64,256,1,192,288,1,1,1,1,0,0,0.1329571008682251,27.255999358707864,28311552
grouped_conv_forward_bf16_2d_128x128x64_compv3,3,2,64,256,1,192,288,1,1,1,1,0,0,0.03931630030274391,92.17242283977282,28311552
grouped_conv_forward_bf16_2d_128x128x64_compv4,3,2,64,256,1,192,288,1,1,1,1,0,0,0.1333971917629242,27.166079046404665,28311552
grouped_conv_forward_bf16_2d_16x64x128_compv3,3,2,64,256,1,192,288,1,1,1,1,0,0,0.07313259690999985,49.55216701055622,28311552
grouped_conv_forward_bf16_2d_16x64x128_compv4,3,2,64,256,1,192,288,1,1,1,1,0,0,0.11189700663089752,32.38584091845901,28311552
grouped_conv_forward_bf16_2d_32x64x128_compv3,3,2,64,256,1,192,288,1,1,1,1,0,0,0.05857650190591812,61.86574032400305,28311552
grouped_conv_forward_bf16_2d_32x64x128_compv4,3,2,64,256,1,192,288,1,1,1,1,0,0,0.1042608991265297,34.75779210000968,28311552
grouped_conv_forward_bf16_2d_64x64x128_compv3,3,2,64,256,1,192,288,1,1,1,1,0,0,0.0566524975001812,63.96679433220767,28311552
grouped_conv_forward_bf16_2d_64x64x128_compv4,3,2,64,256,1,192,288,1,1,1,1,0,0,0.1333812028169632,27.16933555452329,28311552
grouped_conv_forward_bf16_2d_128x64x128_compv3,3,2,64,256,1,192,288,1,1,1,1,0,0,0.06764860451221466,53.569156113865894,28311552
grouped_conv_forward_bf16_2d_128x64x128_compv4,3,2,64,256,1,192,288,1,1,1,1,0,0,0.1317732036113739,27.50087693616039,28311552
grouped_conv_forward_bf16_2d_16x64x64_compv3,4,2,512,1024,1,95,167,1,1,2,2,0,0,0.06457649916410446,130.9410849682635,8257536
grouped_conv_forward_bf16_2d_16x64x64_compv4,4,2,512,1024,1,95,167,1,1,2,2,0,0,0.07466449588537216,113.24950049862449,8257536
grouped_conv_forward_bf16_2d_32x64x64_compv3,4,2,512,1024,1,95,167,1,1,2,2,0,0,0.05336040258407593,158.46426290875468,8257536
grouped_conv_forward_bf16_2d_32x64x64_compv4,4,2,512,1024,1,95,167,1,1,2,2,0,0,0.06467650085687637,130.73862611571684,8257536
grouped_conv_forward_bf16_2d_64x64x64_compv3,4,2,512,1024,1,95,167,1,1,2,2,0,0,0.04513239860534668,187.3535891132159,8257536
grouped_conv_forward_bf16_2d_64x64x64_compv4,4,2,512,1024,1,95,167,1,1,2,2,0,0,0.08362869918346405,101.11022826565684,8257536
grouped_conv_forward_bf16_2d_32x128x64_compv3,4,2,512,1024,1,95,167,1,1,2,2,0,0,0.040872298181056976,206.88136562673049,8257536
grouped_conv_forward_bf16_2d_32x128x64_compv4,4,2,512,1024,1,95,167,1,1,2,2,0,0,0.06534050405025482,129.4100342032336,8257536
grouped_conv_forward_bf16_2d_64x128x64_compv3,4,2,512,1024,1,95,167,1,1,2,2,0,0,0.03412429988384247,247.79165851850053,8257536
grouped_conv_forward_bf16_2d_64x128x64_compv4,4,2,512,1024,1,95,167,1,1,2,2,0,0,0.08366069942712784,101.07155357176164,8257536
grouped_conv_forward_bf16_2d_128x128x64_compv3,4,2,512,1024,1,95,167,1,1,2,2,0,0,0.03306429833173752,255.7355604272294,8257536
grouped_conv_forward_bf16_2d_128x128x64_compv4,4,2,512,1024,1,95,167,1,1,2,2,0,0,0.08254469931125641,102.4380358103372,8257536
grouped_conv_forward_bf16_2d_16x64x128_compv3,4,2,512,1024,1,95,167,1,1,2,2,0,0,0.05980049818754196,141.39876958017635,8257536
grouped_conv_forward_bf16_2d_16x64x128_compv4,4,2,512,1024,1,95,167,1,1,2,2,0,0,0.07477260380983353,113.08576180528794,8257536
grouped_conv_forward_bf16_2d_32x64x128_compv3,4,2,512,1024,1,95,167,1,1,2,2,0,0,0.04728440195322037,178.82676981651267,8257536
grouped_conv_forward_bf16_2d_32x64x128_compv4,4,2,512,1024,1,95,167,1,1,2,2,0,0,0.06588859856128693,128.33353643323937,8257536
grouped_conv_forward_bf16_2d_64x64x128_compv3,4,2,512,1024,1,95,167,1,1,2,2,0,0,0.044212400913238525,191.2521530009944,8257536
grouped_conv_forward_bf16_2d_64x64x128_compv4,4,2,512,1024,1,95,167,1,1,2,2,0,0,0.08272869884967804,102.21020010679048,8257536
grouped_conv_forward_bf16_2d_128x64x128_compv3,4,2,512,1024,1,95,167,1,1,2,2,0,0,0.0432204008102417,195.64179659334152,8257536
grouped_conv_forward_bf16_2d_128x64x128_compv4,4,2,512,1024,1,95,167,1,1,2,2,0,0,0.08382470160722733,100.87380810039116,8257536
grouped_conv_forward_bf16_2d_16x64x64_compv3,5,2,1024,512,1,79,39,1,1,2,2,0,0,0.02144020050764084,78.25120849042877,819200
grouped_conv_forward_bf16_2d_16x64x64_compv4,5,2,1024,512,1,79,39,1,1,2,2,0,0,0.021284200251102448,78.82474230682452,819200
grouped_conv_forward_bf16_2d_32x64x64_compv3,5,2,1024,512,1,79,39,1,1,2,2,0,0,0.019772199913859367,84.8525509204465,819200
grouped_conv_forward_bf16_2d_32x64x64_compv4,5,2,1024,512,1,79,39,1,1,2,2,0,0,0.016680100932717323,100.58222110090587,819200
grouped_conv_forward_bf16_2d_64x64x64_compv3,5,2,1024,512,1,79,39,1,1,2,2,0,0,0.020788200199604034,80.70547637077098,819200
grouped_conv_forward_bf16_2d_64x64x64_compv4,5,2,1024,512,1,79,39,1,1,2,2,0,0,0.020052200183272362,83.66770651928576,819200
grouped_conv_forward_bf16_2d_32x128x64_compv3,5,2,1024,512,1,79,39,1,1,2,2,0,0,0.01948009990155697,86.12489712467574,819200
grouped_conv_forward_bf16_2d_32x128x64_compv4,5,2,1024,512,1,79,39,1,1,2,2,0,0,0.016684100031852722,100.55811202264134,819200
grouped_conv_forward_bf16_2d_64x128x64_compv3,5,2,1024,512,1,79,39,1,1,2,2,0,0,0.02241620048880577,74.84415571844224,819200
grouped_conv_forward_bf16_2d_64x128x64_compv4,5,2,1024,512,1,79,39,1,1,2,2,0,0,0.01992419920861721,84.20522111997283,819200
grouped_conv_forward_bf16_2d_128x128x64_compv3,5,2,1024,512,1,79,39,1,1,2,2,0,0,0.023576200008392334,71.16166300772761,819200
grouped_conv_forward_bf16_2d_128x128x64_compv4,5,2,1024,512,1,79,39,1,1,2,2,0,0,0.01974410004913807,84.97331333535463,819200
grouped_conv_forward_bf16_2d_16x64x128_compv3,5,2,1024,512,1,79,39,1,1,2,2,0,0,0.017392100766301155,96.46457449526423,819200
grouped_conv_forward_bf16_2d_16x64x128_compv4,5,2,1024,512,1,79,39,1,1,2,2,0,0,0.021264199167490005,78.8988847774245,819200
grouped_conv_forward_bf16_2d_32x64x128_compv3,5,2,1024,512,1,79,39,1,1,2,2,0,0,0.015152099542319775,110.72535494596825,819200
grouped_conv_forward_bf16_2d_32x64x128_compv4,5,2,1024,512,1,79,39,1,1,2,2,0,0,0.01706410013139248,98.31878546666107,819200
grouped_conv_forward_bf16_2d_64x64x128_compv3,5,2,1024,512,1,79,39,1,1,2,2,0,0,0.017052100971341133,98.38797007006279,819200
grouped_conv_forward_bf16_2d_64x64x128_compv4,5,2,1024,512,1,79,39,1,1,2,2,0,0,0.01982009969651699,84.64748541576851,819200
grouped_conv_forward_bf16_2d_128x64x128_compv3,5,2,1024,512,1,79,39,1,1,2,2,0,0,0.01698410138487816,98.78188795397583,819200
grouped_conv_forward_bf16_2d_128x64x128_compv4,5,2,1024,512,1,79,39,1,1,2,2,0,0,0.01950809918344021,86.00128511875536,819200
grouped_conv_forward_bf16_2d_16x64x64_compv3,6,4,1280,448,1,8,8,3,3,1,1,1,1,0.11166860163211823,23.66297671305295,114688
grouped_conv_forward_bf16_2d_16x64x64_compv4,6,4,1280,448,1,8,8,3,3,1,1,1,1,0.1002006083726883,26.371212340066418,114688
grouped_conv_forward_bf16_2d_32x64x64_compv3,6,4,1280,448,1,8,8,3,3,1,1,1,1,0.17314539849758148,15.26122867213771,114688
grouped_conv_forward_bf16_2d_32x64x64_compv4,6,4,1280,448,1,8,8,3,3,1,1,1,1,0.12596890330314636,20.97669703165543,114688
grouped_conv_forward_bf16_2d_64x64x64_compv3,6,4,1280,448,1,8,8,3,3,1,1,1,1,0.1741933971643448,15.16941263569816,114688
grouped_conv_forward_bf16_2d_64x64x64_compv4,6,4,1280,448,1,8,8,3,3,1,1,1,1,0.1664212942123413,15.87784503483357,114688
grouped_conv_forward_bf16_2d_32x128x64_compv3,6,4,1280,448,1,8,8,3,3,1,1,1,1,0.171753391623497,15.384916099895523,114688
grouped_conv_forward_bf16_2d_32x128x64_compv4,6,4,1280,448,1,8,8,3,3,1,1,1,1,0.12552900612354279,21.050206654224592,114688
grouped_conv_forward_bf16_2d_64x128x64_compv3,6,4,1280,448,1,8,8,3,3,1,1,1,1,0.20502969622612,12.887945349564278,114688
grouped_conv_forward_bf16_2d_64x128x64_compv4,6,4,1280,448,1,8,8,3,3,1,1,1,1,0.16586139798164368,15.931443676197897,114688
grouped_conv_forward_bf16_2d_128x128x64_compv3,6,4,1280,448,1,8,8,3,3,1,1,1,1,0.19220159947872162,13.748124506594118,114688
grouped_conv_forward_bf16_2d_128x128x64_compv4,6,4,1280,448,1,8,8,3,3,1,1,1,1,0.16678139567375183,15.843562822612022,114688
grouped_conv_forward_bf16_2d_16x64x128_compv3,6,4,1280,448,1,8,8,3,3,1,1,1,1,0.10174880176782608,25.96995221653367,114688
grouped_conv_forward_bf16_2d_16x64x128_compv4,6,4,1280,448,1,8,8,3,3,1,1,1,1,0.10062479972839355,26.26004252562387,114688
grouped_conv_forward_bf16_2d_32x64x128_compv3,6,4,1280,448,1,8,8,3,3,1,1,1,1,0.11546500027179718,22.884956599661656,114688
grouped_conv_forward_bf16_2d_32x64x128_compv4,6,4,1280,448,1,8,8,3,3,1,1,1,1,0.12646910548210144,20.893731397301355,114688
grouped_conv_forward_bf16_2d_64x64x128_compv3,6,4,1280,448,1,8,8,3,3,1,1,1,1,0.13142509758472443,20.105836469297994,114688
grouped_conv_forward_bf16_2d_64x64x128_compv4,6,4,1280,448,1,8,8,3,3,1,1,1,1,0.16632939875125885,15.886617397996222,114688
grouped_conv_forward_bf16_2d_128x64x128_compv3,6,4,1280,448,1,8,8,3,3,1,1,1,1,0.12212099879980087,21.637650739590157,114688
grouped_conv_forward_bf16_2d_128x64x128_compv4,6,4,1280,448,1,8,8,3,3,1,1,1,1,0.16662940382957458,15.858014607689581,114688
grouped_conv_forward_bf16_2d_16x64x64_compv3,8,2,64,64,1,328,160,1,1,1,1,0,0,0.0144640002399683,59.44637069515732,6717440
grouped_conv_forward_bf16_2d_16x64x64_compv4,8,2,64,64,1,328,160,1,1,1,1,0,0,0.029356101527810097,29.289731103615708,6717440
grouped_conv_forward_bf16_2d_32x64x64_compv3,8,2,64,64,1,328,160,1,1,1,1,0,0,0.012227999977767467,70.31667660805674,6717440
grouped_conv_forward_bf16_2d_32x64x64_compv4,8,2,64,64,1,328,160,1,1,1,1,0,0,0.02592420019209385,33.16716865433807,6717440
grouped_conv_forward_bf16_2d_64x64x64_compv3,8,2,64,64,1,328,160,1,1,1,1,0,0,0.01239209994673729,69.38552171913243,6717440
grouped_conv_forward_bf16_2d_64x64x64_compv4,8,2,64,64,1,328,160,1,1,1,1,0,0,0.03483619913458824,24.682150790276307,6717440
grouped_conv_forward_bf16_2d_32x128x64_compv3,8,2,64,64,1,328,160,1,1,1,1,0,0,0.015528100542724133,55.372665680148764,6717440
grouped_conv_forward_bf16_2d_32x128x64_compv4,8,2,64,64,1,328,160,1,1,1,1,0,0,0.025556201115250587,33.64476262032926,6717440
grouped_conv_forward_bf16_2d_64x128x64_compv3,8,2,64,64,1,328,160,1,1,1,1,0,0,0.01616010069847107,53.207113992881865,6717440
grouped_conv_forward_bf16_2d_64x128x64_compv4,8,2,64,64,1,328,160,1,1,1,1,0,0,0.034816302359104156,24.696256113916746,6717440
grouped_conv_forward_bf16_2d_128x128x64_compv3,8,2,64,64,1,328,160,1,1,1,1,0,0,0.01865610107779503,46.08853245458637,6717440
grouped_conv_forward_bf16_2d_128x128x64_compv4,8,2,64,64,1,328,160,1,1,1,1,0,0,0.03476429730653763,24.733200053444012,6717440
grouped_conv_forward_bf16_2d_16x64x128_compv3,8,2,64,64,1,328,160,1,1,1,1,0,0,0.018452100455760956,46.59807278100692,6717440
grouped_conv_forward_bf16_2d_16x64x128_compv4,8,2,64,64,1,328,160,1,1,1,1,0,0,0.028716200962662697,29.942411989593225,6717440
grouped_conv_forward_bf16_2d_32x64x128_compv3,8,2,64,64,1,328,160,1,1,1,1,0,0,0.015820099040865898,54.35062813316862,6717440
grouped_conv_forward_bf16_2d_32x64x128_compv4,8,2,64,64,1,328,160,1,1,1,1,0,0,0.025512199848890305,33.70279023733031,6717440
grouped_conv_forward_bf16_2d_64x64x128_compv3,8,2,64,64,1,328,160,1,1,1,1,0,0,0.016760099679231644,51.30233927340333,6717440
grouped_conv_forward_bf16_2d_64x64x128_compv4,8,2,64,64,1,328,160,1,1,1,1,0,0,0.034240297973155975,25.111706699342957,6717440
grouped_conv_forward_bf16_2d_128x64x128_compv3,8,2,64,64,1,328,160,1,1,1,1,0,0,0.018752099946141243,45.852588375145366,6717440
grouped_conv_forward_bf16_2d_128x64x128_compv4,8,2,64,64,1,328,160,1,1,1,1,0,0,0.03492429852485657,24.619888052670095,6717440
grouped_conv_forward_bf16_2d_16x64x64_compv3,9,2,256,64,1,208,168,1,1,1,1,0,0,0.02282010018825531,100.35407229187484,4472832
grouped_conv_forward_bf16_2d_16x64x64_compv4,9,2,256,64,1,208,168,1,1,1,1,0,0,0.024608198553323746,93.06207356209279,4472832
grouped_conv_forward_bf16_2d_32x64x64_compv3,9,2,256,64,1,208,168,1,1,1,1,0,0,0.020816098898649216,110.01532972869413,4472832
grouped_conv_forward_bf16_2d_32x64x64_compv4,9,2,256,64,1,208,168,1,1,1,1,0,0,0.022276200354099274,102.80433590994242,4472832
grouped_conv_forward_bf16_2d_64x64x64_compv3,9,2,256,64,1,208,168,1,1,1,1,0,0,0.019680101424455643,116.36576126351669,4472832
grouped_conv_forward_bf16_2d_64x64x64_compv4,9,2,256,64,1,208,168,1,1,1,1,0,0,0.029816200956702232,76.80690062847266,4472832
grouped_conv_forward_bf16_2d_32x128x64_compv3,9,2,256,64,1,208,168,1,1,1,1,0,0,0.02515619993209839,91.03481408882942,4472832
grouped_conv_forward_bf16_2d_32x128x64_compv4,9,2,256,64,1,208,168,1,1,1,1,0,0,0.021976199001073837,104.20773782982661,4472832
grouped_conv_forward_bf16_2d_64x128x64_compv3,9,2,256,64,1,208,168,1,1,1,1,0,0,0.024868201464414597,92.08908763575151,4472832
grouped_conv_forward_bf16_2d_64x128x64_compv4,9,2,256,64,1,208,168,1,1,1,1,0,0,0.029752200469374657,76.97212131779287,4472832
grouped_conv_forward_bf16_2d_128x128x64_compv3,9,2,256,64,1,208,168,1,1,1,1,0,0,0.027652200311422348,82.81764048461736,4472832
grouped_conv_forward_bf16_2d_128x128x64_compv4,9,2,256,64,1,208,168,1,1,1,1,0,0,0.029200199991464615,78.42720202839044,4472832
grouped_conv_forward_bf16_2d_16x64x128_compv3,9,2,256,64,1,208,168,1,1,1,1,0,0,0.019420098513364792,117.92370581559997,4472832
grouped_conv_forward_bf16_2d_16x64x128_compv4,9,2,256,64,1,208,168,1,1,1,1,0,0,0.024496201425790787,93.48755524147847,4472832
grouped_conv_forward_bf16_2d_32x64x128_compv3,9,2,256,64,1,208,168,1,1,1,1,0,0,0.01669210009276867,137.1960371236996,4472832
grouped_conv_forward_bf16_2d_32x64x128_compv4,9,2,256,64,1,208,168,1,1,1,1,0,0,0.022080199792981148,103.71690498597633,4472832
grouped_conv_forward_bf16_2d_64x64x128_compv3,9,2,256,64,1,208,168,1,1,1,1,0,0,0.017984099686145782,127.33970696148843,4472832
grouped_conv_forward_bf16_2d_64x64x128_compv4,9,2,256,64,1,208,168,1,1,1,1,0,0,0.029248198494315147,78.29849706624206,4472832
grouped_conv_forward_bf16_2d_128x64x128_compv3,9,2,256,64,1,208,168,1,1,1,1,0,0,0.019200099632143974,119.27490106176484,4472832
grouped_conv_forward_bf16_2d_128x64x128_compv4,9,2,256,64,1,208,168,1,1,1,1,0,0,0.02950020134449005,77.62963910847121,4472832
grouped_conv_forward_bf16_2d_16x64x64_compv3,10,2,64,64,1,160,320,3,3,1,1,1,1,0.0552682988345623,136.60176555459182,6553600
grouped_conv_forward_bf16_2d_16x64x64_compv4,10,2,64,64,1,160,320,3,3,1,1,1,1,0.07010440528392792,107.6929070209351,6553600
grouped_conv_forward_bf16_2d_32x64x64_compv3,10,2,64,64,1,160,320,3,3,1,1,1,1,0.04859229922294617,155.36921118634518,6553600
grouped_conv_forward_bf16_2d_32x64x64_compv4,10,2,64,64,1,160,320,3,3,1,1,1,1,0.061540503054857254,122.6793221574765,6553600
grouped_conv_forward_bf16_2d_64x64x64_compv3,10,2,64,64,1,160,320,3,3,1,1,1,1,0.04290429875254631,175.96715060054288,6553600
grouped_conv_forward_bf16_2d_64x64x64_compv4,10,2,64,64,1,160,320,3,3,1,1,1,1,0.07760459929704666,97.28479070037947,6553600
grouped_conv_forward_bf16_2d_32x128x64_compv3,10,2,64,64,1,160,320,3,3,1,1,1,1,0.06327249854803085,119.32114857561541,6553600
